Vêtement;Description;Value;$;W
Plastron de cuir;C'est un plastron de cuir;2;32;39
Salopette;C'est un salopette;1;22;24
Bout de tissu;C'est un bout de tissu;1;10;14
Epaulières;C'est un epaulières;2;34;40
Marcel;C'est un marcel;1;12;14
Tenue d'officier;C'est un tenue d'officier;3;42;43
Toge en tissu;C'est un toge en tissu;1;18;19
Habit de mineur;C'est un habit de mineur;2;32;33
Habit de bandit;C'est un habit de bandit;3;34;36
Armure en acier;C'est un armure en acier;4;48;52
Plastron de fer;C'est un plastron de fer;4;48;54
Haut de paysan;C'est un haut de paysan;1;18;22
Armure du roi Pirate;C'est un armure du roi pirate;5;62;66
