Divers;Description;Value;$;W
Jeu de carte;C'est un jeu de carte;0;4;9
Boucles d'oreilles;C'est un boucles d'oreilles;0;8;13
Trompettes;C'est un trompettes;0;1;3
Longue vue;C'est un longue vue;0;4;9
Carafe;C'est un carafe;0;6;7
Dés;C'est un dés;0;2;3
Verre en argent;C'est un verre en argent;0;5;7
Livre de recettes;C'est un livre de recettes;0;1;5
Bout de papier;C'est un bout de papier;0;6;7
Roman;C'est un roman;0;3;4
Peluche;C'est un peluche;0;7;10
Oreiller;C'est un oreiller;0;2;6
Plume;C'est un plume;0;7;11
Encrier;C'est un encrier;0;2;7
Poupée vaudou;C'est un poupée vaudou;0;6;9
Fil;C'est un fil;0;10;16
Perle;C'est un perle;0;9;10
Coquillage;C'est un coquillage;0;3;9
Collier de nouille;C'est un collier de nouille;0;6;12
Luth;C'est un luth;0;7;10
Corde;C'est un corde;0;5;9
Fourchette;C'est un fourchette;0;9;14
Cuillère;C'est un cuillère;0;8;13
Puzzle;C'est un puzzle;0;2;8
Louche;C'est un louche;0;1;4
Bout de bois;C'est un bout de bois;0;8;11
Allumettes;C'est un allumettes;0;8;10
Bougie fondue;C'est un bougie fondue;0;8;15
Boutou de chemise;C'est un boutou de chemise;0;9;10
Allumettes;C'est un allumettes;0;7;9
