Arme;Description;Value;$
Petite épée;C'est un petite épée;2;26
Grande épée en acier;C'est un grande épée en acier;4;40
Epée rouillée;C'est un epée rouillée;2;34
Pioche de mineur;C'est un pioche de mineur;3;34
Claymore;C'est un claymore;3;34
Longue Rapière;C'est un longue rapière;3;34
Dague cassée;C'est un dague cassée;2;20
Dague en acier;C'est un dague en acier;2;30
Cimeterre;C'est un cimeterre;3;34
Matraque en bois;C'est un matraque en bois;1;22
Matraque en fer;C'est un matraque en fer;2;22
Machette;C'est un machette;2;24
Massue de pierre;C'est un massue de pierre;3;40
Etoile du matin;C'est un etoile du matin;4;46
Fouet;C'est un fouet;2;30
Lance rouillée;C'est un lance rouillée;2;28
Lance en acier;C'est un lance en acier;3;32
Grand Marteau;C'est un grand marteau;4;50
Epée de Barbe rouge;C'est un epée de barbe rouge;5;52
Marteau du roi Pirate;C'est un marteau du roi pirate;5;56
