Fonctions;Description;écrite ?;Testée ?
leave;termine l'histoire mais le joueur peut revenir;;
conclude;termine l'histoire mais le joueur ne peut pas revenir;;
randomPercent;X pourcent de chance;;
randomRange;choisit entre X possibilités;;
randomCrew;crée un équipage aléatoire;;
randomCharacter;fait apparaître un personnage aléatoire;;
setChoices;fait apparaître plusieurs bulles de dialogues que le joueur peut choisir X étant le nombre de choix;;
Narrator;dialogue narrateur;;
PlayerSpeak;dialogue pour le joueur;;
OtherSpeak;dialogue pour PNJ;;
checkGold;vérifie si le joueur a X argent;;
removeGold;enlève X argent au joueur;;
addGold;enlève X argent au joueur;;
launchCombat;lance un combat entre le personnage ou l'équipage non joueur;;
lootAll;crée un loot, toutes catégories confondues;;
lootFood;crée un loot de nourriture;;
lootClothes;crée un loot de vetetement;;
lootMisc;crée un loot divers;;
lootWeapons;crée un loot d'armes;;
tradeAll;crée un loot, toutes catégories confondues;;
tradeFood;crée un loot de nourriture;;
tradeClothes;crée un loot de vetetement;;
tradeMisc;crée un loot divers;;
tradeWeapons;crée un loot d'armes;;
goTo;retourne au decal X , ligne Y;;
setWeatherNight;lance la pluie;;
setWeatherRain;lance la nuit;;
setWeatherDay;lance le jour;;
switchWeather;lance le jour si nuit et nuit si jour;;
nextDay;le bateau avance sur place;;
checkDay;se décale si c'est la nuit;;
hideOther;cache le personnage;;
deleteOther;supprime le personnage;;
