Arme;Description;Value;$;W;LVL
Epée rouillée;C'est un epée rouillée;17;42;9;1
Pioche de mineur;C'est un pioche de mineur;15;36;8;1
Dague cassée;C'est un dague cassée;12;24;6;1
Vielle hachette;C'est un vielle hachette;12;32;6;1
Bâton solide;C'est un bâton solide;13;30;7;1
Pieu de bois;C'est un pieu de bois;9;22;5;1
Matraque en bois;C'est un matraque en bois;13;27;7;1
Petite épée;C'est un petite épée;26;59;13;2
Dague en acier;C'est un dague en acier;28;64;14;2
Matraque en fer;C'est un matraque en fer;22;45;11;2
Machette;C'est un machette;24;55;12;2
Bâton en fer;C'est un bâton en fer;26;52;13;2
Hachette d'acier;C'est un hachette d'acier;22;47;11;2
Grande épée en acier;C'est un grande épée en acier;42;92;21;3
Longue Rapière;C'est un longue rapière;39;78;20;3
Cimeterre;C'est un cimeterre;45;91;23;3
Massue de pierre;C'est un massue de pierre;33;75;17;3
Longue épée en fer;C'est un longue épée en fer;39;78;20;3
Gourdin barbelé;C'est un gourdin barbelé;39;82;20;3
Lance courte;C'est un lance courte;42;87;21;3
Claymore;C'est un claymore;44;93;22;4
Etoile du matin;C'est un etoile du matin;60;129;30;4
Epée batarde;C'est un epée batarde;48;102;24;4
Fléau d'ames;C'est un fléau d'ames;48;99;24;4
Sabre d'acier;C'est un sabre d'acier;60;130;30;4
Grande serpe;C'est un grande serpe;40;85;20;4
Lance en acier;C'est un lance en acier;50;103;25;5
Marteau de guerre;C'est un marteau de guerre;65;132;33;5
Double hache;C'est un double hache;60;126;30;5
Trident;C'est un trident;60;130;30;5
Coutelas;C'est un coutelas;65;134;33;5
Massue immense;C'est un massue immense;75;157;38;5
Epée immense;C'est un epée immense;66;139;33;6
Epée batarde;C'est un epée batarde;90;184;45;6
Rapière;C'est un rapière;84;177;42;6
Glaive en or;C'est un glaive en or;84;173;42;6
Lame incurvée;C'est un lame incurvée;60;123;30;6
Ceste;C'est un ceste;66;134;33;6
