Arme;Description;Value;$;W
Petite épée;C'est un petite épée;2;32;37
Grande épée en acier;C'est un grande épée en acier;4;46;51
Epée rouillée;C'est un epée rouillée;1;22;29
Pioche de mineur;C'est un pioche de mineur;3;38;42
Claymore;C'est un claymore;3;38;43
Longue Rapière;C'est un longue rapière;3;30;31
Dague cassée;C'est un dague cassée;1;12;17
Dague en acier;C'est un dague en acier;2;28;31
Cimeterre;C'est un cimeterre;3;32;39
Matraque en bois;C'est un matraque en bois;1;24;25
Matraque en fer;C'est un matraque en fer;2;34;37
Machette;C'est un machette;2;20;24
Massue de pierre;C'est un massue de pierre;3;30;37
Etoile du matin;C'est un etoile du matin;4;44;51
Fouet;C'est un fouet;2;30;37
Lance rouillée;C'est un lance rouillée;2;20;24
Lance en acier;C'est un lance en acier;3;44;50
Grand Marteau;C'est un grand marteau;4;52;54
Epée de Barbe rouge;C'est un epée de barbe rouge;5;52;56
Marteau du roi Pirate;C'est un marteau du roi pirate;5;62;68
