Nom;Fréquence %;;;;;;;;;;;;;;
Village pêcheur;6;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;
Narrator : Après avoir évité une vingtaine de bateau de pêche, le bateau est accosté dans un petit port. L'air empeste le poisson.;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : Repartir;Choice : Entrer dans le village;Choice : Aller voir les pêcheurs;;;;;;;;;;;;;
PlayerSpeak : Ça pue on s'casse.;Fade;Mark=>pêcheurs;;;;;;;;;;;;;
Leave;Mark=>place du village;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;[pêcheurs];;;;;;;;;;;;
;;;NewCrew1;;;;;;;;;;;;
;;;PlayerSpeak : Bonjour pêcheur !;;;;;;;;;;;;
;;;OtherSpeak : Salut à toi;;;;;;;;;;;;
;;;[choix pecheurs];;;;;;;;;;;;
;;;SetChoices3;;;;;;;;;;;;
;;;Choice : (Revenir aux quais);Choice : Bobby Dick, ça te dit quelque chose ?;Choice : Tu AS du poisson, ou autre, à me vendre non ?;;;;;;;;;;
;;;HideOther;OtherSpeak : Oui, certains clients en parlent. Ils partent…;RandomPercent65;;;;;;;;;;
;;;Mark=>debut;GiveDirectionToClue;OtherSpeak : Rien aujourd'hui;OtherSpeak : Et comment !;;;;;;;;;
;;;;Mark=>choix pecheurs;OtherSpeak : La période est sèche.;TradeFood;;;;;;;;;
[place du village];;;;;Mark=>choix pecheurs;PlayerSpeak : Merci bien !;;;;;;;;;
CheckDay;;;;;;OtherSpeak : Au plaisir;;;;;;;;;
Narrator : Le village est petit mais vivant, c'est un jour de marché. Des hommes déplacent des caisses de poissons pendant que des femmes le cuisine et le vend. Une petite rue s'ouvre vers la gauche;Narrator : La nuit, la place du village est vide. Seulement quelques maison sont allumées, et une petite ruelle s'ouvre vers la gauche.;;;;;Mark=>choix pecheurs;;;;;;;;;
Mark=>choix village;Mark=>choix village;;;;;;;;;;;;;;
[choix village];;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : Retourner sur les quais;Choice : S'aventurer dans le village;Choice : Parler aux poissoniers;;;;;;;;;;;;;
Fade;Fade;NewCrew1;;;;;;;;;;;;;
Mark=>debut;Mark=>rue;OtherSpeak : Hé ho !;;;;;;;;;;;;;
;;OtherSpeak : Qu'est-ce que je peux faire ?;;;;;;;;;;;;;
;;[choix poissoniers];;;;;;;;;;;;;
