Nom;Fréquence %;;;;;
Forgeron;3;;;;;
Narrator : Le bateau est accosté sur une plage d'herbe. Elle est composée de quelques plates collines. Pas très loin, une maisonnette est surplombée d'une gigantesque cheminée, qui crache une colonne de fumée noire.;;;;;;
SetChoices2;;;;;;
Choice : Repartir;Choice : Avancer vers la maison;;;;;
Leave;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Narrator : Le capitaine arrive devant une petite maison de briques rouges. ;;;;;;
newcrew1;;;;;;
OtherSpeak : bonjour;mort;retour fuite;;;;
SetChoices3;;;;;;
bonjour, forgeron;;;vous avez une très belle maison, au revoir;(attaquer sauvagement);;
randomPercent8;;;…;tu te frottes à la mauvais personne !;;
je vends pas à des gens comme vous;biensur;;retour;combat;;
;TradeWeapons/Clothes/Shoes;;;mort;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
( mort );;;;;;
la forgeron est mort, mais sa forge continu de brûler. ;;;;;;
randomPercent50;;;;;;
la femme entend;la femme n'entend pas.;;;;;
newcrew1;SetChoices3;;;;;
qu'est-ce que c'est que tout cette zizanie !;fouiller maison;;;fouiller ratelier arme;;partir
aller à droite ?;newCrew1;;;random;;
;la femme qu'est ce que c'est ?;;;que de la merde;des trucs bien;
;qu'est-ce que vous faites chez moi;;;;;
;setchoices3;;;;;
;j'ai tué votre mari;;;;;
;Salaud !;;;;;
;random;;;;;
;Narrator : La femme se met a genout elle pleure;combat;;;;
;;;;;;
;la maison est vide;;;;;
;setchoices3;;;;;
;fouiller manger;fouiller bureau;;sortir;;
;;patrons;indice ++;aller;;
;;aller;aller;;;
