Bandits;Fréquence %;;;;;;;;;;
Hangar;5;;;;;;;;;;
Narrator : Le bateau est accosté sur une minuscule île, la plage est jonchée de bateau de toute taille, certains sont mêmes des carcasses. Il y a une vielle cabane au bout d'un petit chemin.;;;;;;;;;;;
[debut];;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : Repartir;Choice : Vers la cabane;;;;;;;;;;
PlayerSpeak : On s'en va !;Fade;;;;;;;;;;
Leave;NewCrew1;;;;;;;;;;
;OtherSpeak : Bonjour !;Mark=>Charpentier Mort;Mark=>Combat Charpentier;;;;;;;;
;OtherSpeak : Je fais des merveilles avec les bateaux;;;;;;;;;;
;[conversation];;;;;;;;;;
;SetChoices4;;;;;;;;;;
;Choice : (retourner sur la plage);Choice : Occupez vous de mon bateau !;Choice : Bobby Dick ?;;Choice : (attaquer);;;;;;
;Mark=>debut;OtherSpeak : Avec plaisir !;RandomPercent40;;RandomPercent50;;;;;;
;;BoatUpgrades;OtherSpeak : Oui;OtherSpeak : Non ça me dis rien !;OtherSpeak : Non, non.;Mark=>Combat Charpentier;;;;;
;;Mark=>conversation;GiveDirectionToClue;Mark=>conversation;OtherSpeak : Prenez ça, laissez moi, svp.;;;;;;
;;;Mark=>conversation;;LootMisc/Food;;;;;;
;;;;;OtherSpeak : Je n'ai rien d'autre…;;;;;;
;;;;;SetChoices2;;;;;;
;;;;;Choice : Merci beaucoup.;Choice : Tout de même, je te crotte.;;;;;
;;;;;Mark=>conversation;Mark=>Combat Charpentier;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[Combat Charpentier];;;;;;;;;;;
OtherSpeak : Enculé de pirate !;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;
Mark=>Charpentier Mort;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[Charpentier Mort];;;;;;;;;;;
Narrator : Le charpentier est mort sur son seuil. La porte de sa cabane est grande ouverte.;;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : Repartir;Choice : Rentrer dans la cabane;;;;;;;;;;
Leave;Fade;;;;;;;;;;
;RandomPercent29;;;;;;;;;;
;PlayerSpeak : Totalement vide !;;[Fouiller Maison];;;;;;;;
;PlayerSpeak : Juste de la paille pour dormir…;;RandomRange3;;;;;;;;
;[Cabane Vide];;Narrator : Il y a un petit peu de paille pour dormir, et un petit garde manger près de la port.;;;Narrator : Il y a un petit peu de paille pour dormir, et un râtelier d'arme.;;;Narrator : Il y a un petit peu de paille pour dormir, et un petit coffre rempli de tout et de rien.;;
;SetChoices2;;SetChoices3;;;SetChoices3;;;SetChoices3;;
;Choice : Dormir;Choice : Sortir;Choice : Dormir;Choice : Sortir;Choice : Fouiller;Choice : Dormir;Choice : Sortir;Choice : Fouiller;Choice : Dormir;Choice : Sortir;Choice : Fouiller
;SetWeatherDay;Fade;SetWeatherDay;Fade;LootMisc/Food;SetWeatherDay;Fade;LootWeapons;SetWeatherDay;Fade;LootMisc
;Mark=>Cabane Vide;Mark=>Charpentier Mort;Mark=>Fouiller Maison;Mark=>Charpentier Mort;Mark=>Fouiller Maison;Mark=>Fouiller Maison;Mark=>Charpentier Mort;Mark=>Fouiller Maison;Mark=>Fouiller Maison;Mark=>Charpentier Mort;Mark=>Fouiller Maison
