Nom histoire;Fréquence %;;;
Epave;6;;;
[debut];;;;
Narrator : L'île fait plus ou moins la taille de votre bateau. Une petite maison s'y dresse au milieu. Au dessus de la porte, un point d'interrogation est piètrement peint sur une enseigne.;;;;
SetChoices2;;;;
Choice : (entrer);Choice : (repartir);;;
Fade;Leave;;;
Mark=>marchand;;;;
;;;;
;;;;
[marchand];;;;
NewCrew1;;;;
OtherSpeak : Coucou toi !;;;;
[choix];;;;
SetChoices4;;;;
Choice : Qu'est-ce que vous vendez ?;Choice : Apprenez moi quelque chose.;Choice : Le trésor de Bobby Dick ?;Choice : (partir);
OtherSpeak : Je ne vends RIEN !;Mark=>aide;Mark=>trésor;OtherSpeak : Au revoir !;caca bug
OtherSpeak : Mais je sais tout…;;;Fade;
OtherSpeak : A un prix…;;;Mark=>debut;
Mark=>choix;;;;
;;;;
;;;;
[trésor];;;;
OtherSpeak : Bien sûr que je connais !;;;;
OtherSpeak : Pour pas moins de 15 pièces d'or !;;;;
SetChoices2;;;;
Choice : Sans façons…;Choice : Tenez !;;;
Mark=>choix;CheckGold15;;;
;OtherSpeak : Quelqu'un sait quelquechose…;OtherSpeak : Il vous faut plus d'argent mon petit;;
;GiveDirectionToClue;Mark=>choix;;
;Mark=>choix;;;
;;;;
;;;;
;;;;
;;;;
[aide];;;;
OtherSpeak : Ce sera 3 pièces d'or le conseil !;;;;
SetChoices2;;;;
Choice : Nah…;Choice : Tenez;;;
Mark=>choix;[tip];;;
;CheckGold3;;;
;GiveTip;;OtherSpeak : Vous n'avez pas trois petites pièces ?;
;OtherSpeak : Encore un ?;;OtherSpeak : Oh pauvre…;
;SetChoices2;;Mark=>choix;
;Choice : Ça ira pour aujourd'hui;Choice : Volontiers;;
;Mark=>choix;OtherSpeak : Bien;;
;;Mark=>tip;;
