Fonctions;Description;écrite ?;Testée ?
Leave;termine l'histoire mais le joueur peut revenir;;
Conclude;termine l'histoire mais le joueur ne peut pas revenir;;
GoTo;;;
RandomPercent;X pourcent de chance;;
RandomRange;PlayerSpeak : Encore un guet apens ! Tayo !;;
HideOther;cache le personnage;;
DeleteOther;supprime le personnage;;
NewCharacter;crée un équipage aléatoire;;
NewCrew;fait apparaître un personnage aléatoire;;
Narrator;dialogue narrateur;;
SetChoices;fait apparaître plusieurs bulles de dialogues que le joueur peut choisir X étant le nombre de choix;;
PlayerSpeak;dialogue pour PNJ;;
OtherSpeak;dialogue pour PNJ;;
HideOther;cache le personnage;;
DeleteOther;supprime le personnage;;
CheckGold;vérifie si le joueur a X argent;;
RemoveGold;enlève X argent au joueur;;
AddGold;enlève X argent au joueur;;
Loot;crée un loot, toutes catégories confondues;;
Trade;crée un loot de nourriture;;
LaunchCombat;lance un combat entre le personnage ou l'équipage non joueur;;
GiveFormulaCharacter;le personnage avec lequel le joueur discute donne un indice;;
GiveFormulaNarrator;le narrateur donne un indice;;
CheckClues;lance la vérification d'indice pour le trésor;;
SetWeather;lance la pluie;;
SwitchWeather;lance le jour si nuit et nuit si jour;;
NextDay;le bateau avance sur place;;
CheckDay;se décale si c'est la nuit;;
