Nom;Fréquence / 5;;;;
Bandits;2;;;;
Narrator : L'équipage accoste sur une petite île. Quelques hommes s'avancent;;;;;
NewCrew;;;;;
OtherSpeak : Oyé !;;;;Narrator : L'île est totalement vide, hormis quelques cadavres de bandits.;
PlayerSpeak : Ahoi !;;;;SetChoices2;
OtherSpeak : C'est simple : 200 pièces d'or ou c'est fini !;;;;Choice : Repartir;Choice : Fouiller les corps
SetChoices3;;;;;
Choice : Tenez…;;Choice : Plutôt mourir !;Choice : Je n'ai pas assez;;
CheckGold200;;LaunchCombat;OtherSpeak : Tanpis Pour vous !;;
RemoveGold200;OtherSpeak : Vous vous foutez de moi ?;Leave;LaunchCombat;;
OtherSpeak : C'est très bien ça…;OtherSpeak : Déglingez les gars !;;Leave;;
OtherSpeak : A la prochaine;LaunchCombat;;;;
Leave;Leave;;;;
