Nom;Fréquence / 5;;;;;;;;;
Maison;0;;;;;;;;;
CheckFirstVisit;;;;;;;;;;
Node=>premiere visite;Node=>retour;;;;;;;;;
;;;;;;;;;;
[premiere visite];;;;;;;;;;
Narrator : Et c'est ainsi que CAPITAINE parti à la recherche du trésor de Bobby Dick. Seul, et avec seulement quelques ration.;;;;;;;;;;
PlayerSpeak : En route !;;;;;;;;;;
Leave;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[retour];;;;;;;;;;
Narrator : Nous voilà sur une petite île. Un petit chemin de pierre mène à une chaumière coquette.;;;;;;;;;;
PlayerSpeak : C'est chez moi !;;;;;;;;;;
[salon];;;;;;;;;;[caca]
SetChoices4;;;;;;;;;;
Choice : Partir;Choice : Dormir jusqu'au lendemain;Choice : Aller cuisine;;Choice : Aller dans jardin;;;;;;
PlayerSpeak : Hop !;SetWeatherDay;RandomRange2;;RandomRange2;;;;;;
Leave;Node=>salon;Node=>cuisine;Node=>cuisine-mère;Node=>jardin;Node=>jardin-père;;;;;
;;;;;;;;;;
;;;;;;;;;;
[cuisine];;;[cuisine-mère];;;;[cuisine-mère-morte];;[attaqua mère];
SetChoices2;;;NewCrew1/F;;;;Narrator : Votre mère par terre, une épée dans le dos.;;PlayerSpeak : Désolé maman;
Choice : Retourner salon;Choice : Regarder garde manger;;OtherSpeak : Coucou mon poussin !;Node=>cuisine-mère-morte;Node=>attaqua mère;;Node=>cuisine;;OtherSpeak : C'est rien;
Node=>salon;LootFood;;[choix-mère];;;;;;Node=>choix-mère;
;Node=>cuisine;;SetChoices3;;;;;;;
;;;Choice : Retourner salon;Choice : Regarder dans coffre;Choice : Regarder garde manger;;;;;
;;;Node=>salon;OtherSpeak : Sers toi !;GiveTip;;;;;
;;;;LootFood;Node=>cuisine-mère;;;;;
;;;;Node=>cuisine;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[jardin];;;[jardin-père];;;;;;;
CheckDay;;;CheckDay;;;;;;;
Narrator : Le jardin est ensoleillé et calme. Quelques oiseaux chantent.;Narrator : La nuit est douce et calme. On entend le hululement d'une chouette.;;Narrator : Le jardin est ensoleillé et calme. Quelques oiseaux chantent. Votre père est en train d'arracher les herbes folles.;Narrator : La nuit est douce et calme. On entend le hululement d'une chouette. Votre père sirote un verre de rhum devant la nuit.;;;;;;
Node=>choix jardin;Node=>choix jardin;;Node=>père;Node=>père;;;;;;
;;;;;;;;;;
[choix jardin];;;[père];;;;;;;
SetChoices2;;;NewCrew1/M;;;;;;;
Choice : Retourner salon;Choice : Regarder garde manger;;OtherSpeak : Salut fiston;Node=>jardin-père-mort;Node=>attaqua père;;;;;
Node=>salon;LootFood;;Node=>choix-père;;;;;;;
;Node=>jardin;;;;;;;;;
;;;;;;;;;;
;;;[choix-père];;;[jardin-père-mort];;[attaqua père];;
;;;SetChoices3;;;Narrator : Le corps de votre père gît sur l'herbe.;;OtherSpeak : T'es revenu ptit con;;
;;;Choice : Retourner salon;Choice : Regarder dans coffre;Choice : Parler à mère;Node=>jardin;;LaunchCombat;;
;;;Node=>salon;LootMisc;GiveTip;;;Node=>jardin-père-mort;;
;;;;Node=>cuisine;Node=>cuisine-mère;;;;;
