Nom;Fréquence / 5;;;;;;;;
Naufragé;2;;;;;;;;
Narrator : L'île est immense, mais une gigantesque colonne de fumée tourne au dessus d'elle.;;;;;;;;;
SetChoices2;;;;;;;;;
Choice : Repartir;Choice : Accoster sur l'île;;;;;;;;
PlayerSpeak : On a rien à faire ici !;NewCharacter;;;;;;;;
Leave;Narrator : Un homme barbus est au bord de la plage. Il vous fait des signes.;Narrator : La plage est vide.;;;;;;;
;PlayerSpeak : Tout va bien ?;GoToA/22;;;;;;;
;OtherSpeak : 3 ans que je suis coincé ici !;;;;;;;;
;OtherSpeak : Emmenez moi avec vous, je vous en prie !;;;;;;;;
;SetChoices3;;;;;;;;
;Choice : Montes !;;;Choice : Donne nous tout ce que tu as ou on te croque la bite.;;;Choice : Désolé mon gars, pas assez de place à bord;;
;OtherSpeak : Merci m'sieur !;;;RandomRange3;;;RandomPercent40;;
;AddMember;;;OtherSpeak : Mais je n'ai absolument rien !;GoToE/17;;OtherSpeak : Donnez moi au moins quelque chose à manger;;OtherSpeak : Enculé ! 
;GoToA/22;;;SetChoices2;;;SetChoices2;;LaunchCombat
;;;;Choice : Rien à foutre;;Choice : Mon couillon t'es en vaine : On s'en va.;Choice : Tiens.;Choice : Non continue à manger des noix de coco.;GoToA/22
;;;;RandomPercent30;;OtherSpeak : …;RemoveFromInv;OtherSpeak : Vous êtes sans coeur !;
;;;;OtherSpeak : Tenez…;OtherSpeak : Faudra passer sur mon cadavre ! ;Leave;OtherSpeak : Merci…;GoToA/22;
;;;;LootMisc;LaunchCombat;;Leave;;
;;;;Conclude;GoToA/22;;;;
;;;;;;;;;
Narrator : L'île est grande mais déserte. Il n'y a qu'un petit bois au bout de la plage;;;;;;;;;
HideOther;;;;;;;;;
SetChoices3;;;;;;;;;
Choice : On lève l'ancre !;Choice : On va rester ici pour la nuit;Choice : (Chercher de la nourriture);;;;;;;
Leave;SetWeatherDay;RandomPercent75;;;;;;;
;NextDay;OtherSpeak : Il n'y a rien de comestible ici !;OtherSpeak : Bingo !;;;;;;
;Narrator : Le bateau est sur une petite île. L'air est frais et matinal.;GoToA/24;LootFood;;;;;;
;GoToA/24;;GoToA/24;;;;;;
