Nom histoire;Fréquence %;;;;
Epave;5;;;;
[debut];;;;;
Narrator : L'île est petite, plate et verte. Sur la plage un panneau indique une direction : « Marchand d'étoffe et de cuir »;;;;;
SetChoices2;;;;;
Choice : (suivre panneau);Choice : (repartir);;;;
Mark=>marchand;Leave;;;;
;;;;;
;;;;;
;;;;;
[marchand];;;;;
NewCrew1;;;;;
OtherSpeak : Salut voyageur !;;;;;
[choix];;;;;
SetChoices4;;;;;
Choice : Qu'est-ce que vous vendez ?;Choice : Montrez moi votre marchandise;Choice : Le trésor de Bobby Dick ?;;Choice : (partir);
OtherSpeak : Comme le panneau l'indique.;TradeClothes;RandomPercent20;;OtherSpeak : Au revoir !;
OtherSpeak : Des vêtements, protections en tout genre.;Mark=>choix;OtherSpeak : Ça n'intéresse que les pirates…;OtherSpeak : Ça ne me dit rien.;HideOther;
Mark=>choix;;GiveDirectionToClue;Mark=>choix;Fade;caca
;;Mark=>choix;;Mark=>debut;
