Nom histoire;Fréquence %;;;;;;;;;;;
Maison abandonnée;12;;;;;;;;;;;
Narrator : Le bateau est accosté sur la plage.;;;;;;;;;;;;
[debut];;;;;;;;;;;;
Narrator : Au milieu d'une petit plaine se tient une immense baraque. Elle est vielle et dans un piteux état.;;;;;;;;;;;;
[choix porte];;;;;;;;;;;;
SetChoices3;;;;;;;[toquer];;;;;
Choice : (repartir);Choice : (ouvrir porte maison);Choice : (toquer à la porte);;;;;RandomRange3;;;;;
Leave;Fade;Node=>toquer;;;;;Narrator : …;;Narrator : Une vielle dame ouvre la porte…;;;Narrator : Personne ne répond…
;Node=>ouvrir porte;;;;;;Narrator : Après quelques secondes, la porte s'ouvre. Elle est grande ouverte, mais personne n'est derrière.;;[vielle dame];;;Node=>choix porte
;;;;;;;SetChoices2;;NewCrew1/F;;;
;;;;;;;Choice : (entrer);Choice : (repartir);[vielle dame à la porte ?];;;
[ouvrir porte];;[porte fermée];;;;;Switch=>début salon;Fade;OtherSpeak : De la compagnie !;Node=>salon vielle dame;;
RandomRange2;;PlayerSpeak : C'est fermé…;;;;;Fade;Leave;OtherSpeak : Venez boire un thé dans mon salon !;;;
Node=>entrée maison;Node=>porte fermée;SetChoices3;;;;;Node=>entrée maison;;Switch=>début salon;;;
;;Choice : (défoncer la porte);;Choice : (chercher une clé);;Choice : (repartir);;;Switch=>check bandits;;;
;;CheckStatSTR;;CheckInInventory<Clé>/Misc;;Fade;;;Switch=>vielle dame à la porte ?;;;
;;PlayerSpeak : Je ne suis pas assez fort;;RemoveInInventory<Clé>/Misc;;Leave;;;Fade;;;
;;Node=>choix porte;;PlayerSpeak : Bingo !;;;;;Node=>entrée maison;;;
;;;;Node=>entrée maison;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[entrée maison];;;;;;;;;;;;
RandomRange2;;;;;;;;;;;;
Node=>maison vide;Node=>trop sombre;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[trop sombre];;;;;;;;;;;;
Narrator : La porte s'ouvre mais l'équipage est plongé dans la pénombre totale.;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : (repartir);Choice : (sortir lanterne);;;;;;;;;;;
Fade;CheckInInventory<Lanterne>/Misc;PlayerSpeak : Je n'ai aucune lanterne;;;;;;;;;;
Leave;Node=>maison vide;Node=>trop sombre;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
