Nom histoire;Fréquence %;;
Verger;12;;
Narrator : L'île est toute petite.;;;
[debut];;;
Narrator : Quelques beaux arbres à fruits sont alignés à quelques mètres.;;;
[switch verger];;;
Node=>choix verger;Node=>consequence;;
[choix verger];;;
SetChoices2;;;
Choice : (cueillir les fruits);Choice : (partir);;
randomRange4;Leave;;
PlayerSpeak : Des pommes !;PlayerSpeak : Des oranges !;PlayerSpeak : Des abricots !;PlayerSpeak : On dirait que des saletés de bêtes ont tout mangé !
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;Node=>choix verger
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;
Switch=>switch verger;Switch=>switch verger;Switch=>switch verger;
Node=>consequence;Node=>consequence;Node=>consequence;
;;;
[consequence];;;
RandomRange2;;;
Node=>fermier;[choix consequence];;
;SetChoices1;;
;Choice : (repartir);Choice : (faire un tour sur l'île);
;PlayerSpeak : Allons y avant que quelqu'un nous voie.;PlayerSpeak : Il n'y a pas l'air n'avoir grands choses d'autres.;
;Leave;Node=>choix consequence;
;;;
;;;
;;;
;;;
[fermier];;;
NewCrew1;;;
OtherSpeak : AU VOLEUR !;OtherSpeak : AU VOLEUR !;;
SetChoices2;Node=>combat fermier;Node=>fermier mort;
Choice : J'ai rien fais !;Choice : Qu'est-ce que tu vas faire !;;
;RandomRange2;;
;OtherSpeak : Je vais reprendre mes pommes ! ;;
;[combat fermier];;
;LaunchCombat;;
;[fermier mort];;
;RandomRange2;;
;Narrator : Le fermier est mort. Sa ferme n'était manifestement pas sur l'île…;Narrator : Le fermier est mort… Vous voyez sa ferme au loin.;
;SetChoices1;ChangeStory=>Maison abandonnée[début/fermier mort];
;Choice : (partir);;
;Leave;;
