Nom;Fréquence / 5;;;;
Indice;0;;;;
Narrator : Un rocher immense sort de l'océan. Un escalier est sculté dans la pierre.;;;;;
SetChoices2;;;;;
Choice : Repartir;Choice : Monter;;;;
PlayerSpeak : Trop haut ! Tayo !;PlayerSpeak : Aller en route !;;;;
Leave;Fade;;;;
;Narrator : Après quelques heures de marche, l'équipage arrive au sommet. Une petite chaumière surplombe le rocher.;;;;
;SetChoices2;;;;
;Choice : Redescendre;Choice : Toquer;;;
;PlayerSpeak : J'ai le vertige, on s'casse.;NewCharacter;;;
;Fade;OtherSpeak : Hélà !;;;
;GoToA/3;PlayerSpeak : Bonjour !;;;
;;SetChoices3;;;
;;Choice : On va y aller…;Choice : ( demander nourriture );;Choice : Bobby Dick, ça vous parle ?
;;OtherSpeak : OK merci !;RandomRange2;;OtherSpeak : Oui.
;;HideOther;OtherSpeak : Je vais voir dans mon garde manger.;OtherSpeak : J'en ai assez peu pour moi même, désolé.;OtherSpeak : Mon fils est lui aussi parti à sa recherche.
;;Narrator : L'équipage est au sommet. Une petite chaumière surplombe le rocher.;TradeFood;GoToD/15;OtherSpeak : Il n'avait qu'un mot à la bouche.
;;GoToB/9;PlayerSpeak : Mille merci !;;GiveClue
;;;GoToD/15;;GoToD/15
