Nom;Fréquence / 5;;;;
Trésor;0;;;;
[debut];;;;;
Narrator : L'île est déserte et gigantesque. Au centre de l'île se tient une montagne, entourée d'un forêt.;;;;;
SetChoices3;;;;;
Choice : Reprendre le large;Choice : Faire un campement.;Choice : Se mettre en route vers la forêt.;;;
PlayerSpeak : Hop !;SetWeatherDay;SetWeatherDay;;;
Leave;Node=>debut;PlayerSpeaker : Nous y voilà;;;
;;[entree foret];;;
;;SetChoices3;;;
;;Choice : Retourner à plage;Choice : Entrer dans la forêt.;Choice : Camper à l'orée de la forêt.;
;;SetWeatherNight;Fade;SetChoices2;
;;PlayerSpeak : Deux jours de marche pour rien…;Node=>caca;Choice : Jusqu'à la nuit;Choice : Jusqu'au lendemain
;;Node=>debut;;SetWeatherNight;SetWeatherDay
;;;;Node=>entree foret;Node=>entree foret
[caca];;;;;
Narrator : La fôrêt est sombre et dense. Mais une pierre gigantesque vous bloque le chemin.;;;;;
Narrator : Une voix d'outre tombe s'élève de derrière les arbres.;;;;;
Narrator : « Récitez les deux formules »;;;;;
[indices];;;;;
CheckClues;;;;;
Fade;;Fade;Fade;;
PlayerSpeak : Il ne s'est rien passé !;;Narrator : Un grondement immense résonne dans la forêt.;Narrator : Gagné !;;
[next];;PlayerSpeak : Je crois qu'on est sur la bonne piste !;Fade;;
SetChoices2;;Node=>next;Leave;;
Choice : Sortir de la forêt;Choice : Réessayer;;;;
Narrator : Sans trop de mal, l'équipage retrouve l'entrée de la forêt.;Node=>indices;;;;
Node=>entree foret;;;;;
