Nom;Fréquence / 5;;;;;;;;;
Bandits;1;;;;;;;;;
Narrator : Les fumées d'un petit village montent de derrière les dunes de l'île.;;;;;;;;;;
SetChoices2;;;;;;;;;;
Mettre les voiles;Entrer dans le village;;;;;;;;;
Leave;Narrator : C'est un petit village de deux maisons : Une coquette chaumière et une maisonnette détruite.;;;;;;;;;
;SetChoices2;;;;;;;;;
;Petite chaumière;;;;;Maison détruite;;;;
;Narrator : Une très jolie chaumière de laquelle sort de la fumée.;;;;;Narrator : La maison à été consumée par le feu;;;;
;SetChoices2;;;;;SetChoices2;;;;
;Toquer;;;Retourner au village;;Fouiller les restes;;Revenir au centre du village.;;
;NewCharacter;;;GoToB/6;;RandomPercent30;;GoToB/6;;
;OtherSpeak : Oui ?;;;;;PlayerSpeak : Bingo;PlayerSpeak : Rien du tout !;;;
;Narrator : Une magnifique jeune femme se tient sur le seuil;;;;;lootMisc;GoToG/10;;;
;SetChoices3;;;;;GoToG/10;;;;
;Vous vendez des choses ?;;Bobby Dick, ça vous parle ?;( attaquer );;;;;;
;OtherSpeak : Rien du tout !;;OtherSpeak : Et comment ! Ma mère n'avait que ce mot à la bouche !;OtherSpeak : !;;;;;;
;GoToB/15;;PlayerSpeak : Ah oui ?;LaunchCombat;;;;;;
;;;OtherSpeak : Et comment ! Ma mère ne parlait que de cette vielle légende.;OtherSpeak : Elle est morte !;;;;;;
;;;OtherSpeak : Puis elle est partie, avec un seul mot à la bouche :;SetChoices2;;;;;;
;;;GiveFormulaCharacter;Partir de l'île;Fouiller la maison;;;;;
;;;PlayerSpeak : Merci !;Conclude;Narrator : Il y un bureau, un coffre, et une cuisine;;;;;
;;;GoToB/15;;SetChoices4;;;;;
;;;;;( Fouiller cuisine );;( Fouiller coffre );;( Fouiller bureau );( Sortir de la maison )
;;;;;RandomPercent50;;RandomPercent50;;Narrator : Le bureau est en désordre. Que des cartes, des compas, des boussoles, et des dizaines de papiers sur lesquels est gribouillé le mot;GoToF/22
;;;;;PlayerSpeak : Rien du tout !;PlayerSpeak : De la bouffe !;PlayerSpeak : Rien du tout !;PlayerSpeak : Que des babioles…;GiveFormulaNarrator;
;;;;;GoToF/22;LootFood;GoToF/22;LootFood;PlayerSpeak : Quel bordel…;
;;;;;;GoToF/22;;GoToF/22;GoToF/22;
