Nom;Fréquence %;;;;;;;
Naufragé;7;;;;;;;
[debut];;;;;;;;
Narrator : L'île est immense, mais une gigantesque colonne de fumée tourne au dessus d'elle.;;;;;;;;
SetChoices2;;;;;;;;
Choice : Repartir;Choice : Accoster sur l'île;;;;;;;Choice : c « zqr lz ccaca du butg
PlayerSpeak : On a rien à faire ici !;Fade;;;;;;;
Leave;Mark=>naufragé;;;;;;;
;;;;;;;;
;;;;;;;;
[naufragé];;;;;;;;
NewCrew1;;;;;;;;
Narrator : Un naufragé est au bord de la plage. Il vous fait des signes.;Mark=>plage déserte;OtherSpeak : Oh non encore vous !;;;;;;
PlayerSpeak : Tout va bien ?;;OtherSpeak : Je vous en pris laissez moi en vie;;;;;;
OtherSpeak : 3 ans que je suis coincé ici !;;Mark=>combat dialogue;;;;;;
OtherSpeak : Emmenez moi avec vous, je vous en prie !;;;;;;;;
[dialogue];;;;;;;;
SetChoices3;;;;;;;;
Choice : Monte !;Choice : Donne nous tout ce que tu as ou on te croque la bite.;;Choice : Désolé mon gars, pas assez de place à bord;;;;;
OtherSpeak : Merci m'sieur !;RandomRange2;;RandomPercent40;;;;;
AddMember;OtherSpeak : Mais je n'ai absolument rien !;Mark=>combat naufragé;OtherSpeak : Donnez moi au moins quelque chose à manger;;;Mark=>combat naufragé;;
Mark=>plage déserte;Mark=>combat dialogue;;SetChoices2;;;;;
;;;Choice : Tiens.;;Choice : Non continue à manger des noix de coco.;;;
;;;RemoveFromInventory/Food;;OtherSpeak : Vous êtes sans coeur !;;;
;;;OtherSpeak : Merci…;OtherSpeak : Mais… Vous n'avez rien…;Mark=>plage déserte;;;
;;;HideOther;HideOther;;;;
;;;Mark=>debut;Mark=>debut;;;;
;;;;;;;;
;;;;;;;;
[combat dialogue];;;;;;;;
SetChoices2;;;;;;;;
Choice : Rien à foutre;;Choice : Mon couillon t'es en vaine : On s'en va.;;;;;;
RandomPercent30;;OtherSpeak : …;;;;;;
OtherSpeak : Tenez…;OtherSpeak : Faudra passer sur mon cadavre ! ;Leave;;;;;;
LootMisc;Mark=>combat naufragé;;;;;;;
HideOther;;;;;;;;
Mark=>debut;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[combat naufragé];;;;;;;;
OtherSpeak : Enculé !;;;;;;;;
LaunchCombat;;;;;;;;
Mark=>plage déserte;;;;;;;;
;;;;;;;;
;;;;;;;;
[plage déserte];;;;;;;;
Narrator : La plage est vide.;;;;;;;;
SetChoices4;;;;;;;;
Choice : On lève l'ancre !;Choice : On va rester ici pour la nuit;Choice : (Chercher de la nourriture);;Choice : (Retourner voir naufragé);;;;
Leave;SetWeatherDay;RandomPercent65;;Mark=>naufragé;;;;
;Narrator : Le bateau est sur une petite île. L'air est frais et matinal.;PlayerSpeak : Il n'y a rien de comestible ici !;PlayerSpeak : Bingo !;;;;;
;Mark=>plage déserte;Mark=>plage déserte;LootFood;;;;;
;;;Mark=>plage déserte;;;;;
