Nom;Fréquence %;;
Ile déserte var 1;15;;
RandomRange2;;;
Node=>ile sans arbuste;Node=>ile avec arbuste;;
;;;
[ile sans arbuste];;;
Narrator : Le bateau accoste sur un îlot minuscule. La plage est totalement déserte.;;;
[debut];;;
SetChoices2;;;
Choice : On lève l'ancre !;Choice : On va rester ici pour la nuit;;
Leave;SetWeatherDay;;
;Narrator : Le bateau est sur une petite île. L'air est frais et matinal.;;
;Node=>debut;;
[ile avec arbuste];;;
Narrator : Le bateau accoste sur une petite île. Quelques arbustes ont poussés au bout de la plage;;;
[debut];;;
SetChoices3;;;
Choice : On lève l'ancre !;Choice : On va rester ici pour la nuit;Choice : (Chercher de la nourriture);
Leave;SetWeatherDay;RandomPercent35;
;Narrator : Le bateau est sur une petite île. L'air est frais et matinal.;PlayerSpeak : Bingo !;PlayerSpeak : Il n'y a rien de comestible ici !
;Node=>debut;LootFood;Node=>debut
;;Node=>debut;
