Nom;Fréquence / 5;;;;;;;;;;
Ile Taverne;2;;;;;;;;;;
Narrator : De la fumée monte dans le ciel et une odeur merveilleuse flotte dans l'air. C'est une taverne.;;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : Reprenons la mer;Choice : Entrons;;;;;;;;;;
Leave;Fade;;;;;;;;;;
;NewCrew;;;;;;;;;;
;OtherSpeak : Qu'est-ce que je peux faire pour vous ?;GoToB/27;;;;;;;;;
;SetChoices4;;;;;;;;;;
;Choice : Des chambres pour mes hommes !;;;Choice : On a faim !;Choice : (autre);Choice : Ça ira pour aujourdh'ui;;SetChoices3;;;
;OtherSpeak : Ça sera 50 pièces d'or;;;OtherSpeak : Regardez voir ce que j'ai;GoToI/10;OtherSpeak : Bon bah à la prochaine !;;Choice : C'est quoi les nouvelles de la région ?;;Choice : (attaquer);Choice : (autre)
;SetChoices2;;;TradeFood;;HideOther;;RandomPercent40;;GoToB/25;GoToB/9
;Choice : Tenez !;;Choice : Je n'ai pas assez…;GoToB/8;;GoToA/3;;OtherSpeak : Qu'est-ce que j'en sais moi ?;GiveTip;;
;CheckGold50;;OtherSpeak : C'est rien mon bon monsieur;;;;;GoToB/8;GoToB/8;;
;RemoveGold50;OtherSpeak : Désolé mon bon m'sieur mais c'est pas assez;GoToB/8;;;;;;;;
;OtherSpeak : Prenez le dortoir à gauche en haut des escaliers !;GoToB/8;;;;;;;;;
;OtherSpeak : Bonne nuit;;;;;;;;;;
;HideOther;;;;;;;;;;
;RandomPercent5;;;;;;;;;;
;SetWeatherNight;;;;;;SetWeatherDay;;;;
;Narrator : Des craquements dans le couloir réveillent l'équipage;;;;;;Narrator : L'équipe se réveille au chant des mouettes…;;;;
;SetChoices2;;;;;;OtherSpeak : Alors, bien dormis ?;;;;
;Choice : Je vais voir ce que c'est;;;;Choice : On verra demain…;;SetChoices2;;;;
;PlayerSpeak : Vous pensiez nous avoir comme ça ?!;;;;SetWeatherDay;;Choice : Non j'ai très mal dormis;Choice : Oui merci !;;;
;OtherSpeak : Sacre Bleu !;;;;Narrator : L'équipage se réveille. Plus de deux cents pièces d'or ont disparues;;OtherSpeak : Bah merde alors…;OtherSpeak : Génial;;;
;LaunchCombat;;;;PlayerSpeak : Ma bourse ! Qui a pris ma bourse !;;GoToB/8;GoToB/8;;;
;Narrator : Il n'y a plus personne dans l'auberge.;;;;RemoveGold100;;;;;;
;SetChoices3;;;;SetChoices2;;;;;;
;Choice : Chercher le garde manger;;Choice : Repasser une nuit à l'auberge;Choice : Reprendre le large;Choice : (Aller voir le tavernier);Choice : (Partir comme si de rien était);;;;;
;RandomPercent10;;PlayerSpeak : Je crois qu'on a besoin d'une bonne nuit de sommeil;PlayerSpeak : On a rien plus rien à faire ici !;GoToB/24;GoToB/8;;;;;
;Narrator : La porte du garde manger est entrouverte;Narrator : La porte du garde manger est fermée;SetWeatherDay;Fade;;;;;;;
;SetChoices2;GoToB/28;GoToB/27;GoToA/3;;;;;;;
;Choice : Fouiller;Choice : Revenir;;;;;;;;;
;RandomPercent25;GoToB/28;;;;;;;;;
;PlayerSpeak : Il n'y a rien là dedans.;PlayerSpeak : Miam !;;;;;;;;;
;GoToB/32;LootFood;;;;;;;;;
;;GoToB/32;;;;;;;;;
