Nom;Fréquence / 5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caserne;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Narrator : Un bruit d'acier résonne dans l'air. Cette île est une caserne militaire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Choice : Reprendre le large;Choice : Accoster;;;;;;;;;;;;;;;;;;;;;;;;;;;
PlayerSpeak : Osef !;NewCharacter;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leave;OtherSpeak : Eh là ! Manant !;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OtherSpeak : Qu'est-ce que tu fais ici !?;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SetChoices3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choice : ( attaquer );Choice : Nan rien !;Choice : Je cherche armes et sustentements !;;;;;;;;;;;;;;;;;;;;;;;;;
;PlayerSpeak : Enculé !;OtherSpeak : Très bien !;RandomPercent29;;;;;;;;;;;;;;;;;;;;;;;;;
;GoToB/16;Leave;OtherSpeak : Eh bien tu peux aller te faire voir…;;;;;;;OtherSpeak : Entrez !;;;;;;;;;;;;;;;;;;
;;;SetChoices3;;;;;;;HideOther;;;;;;;;;;;;;;;;;;
;;;Choice : ( attaquer );Choice : ( séduction );;Choice : Pas de problèmes !;;;;NewCrew;;;;;;;;;;;;;;;;;;
;;;PlayerSpeak : Tu en décuira !;RandomPercent20;;OtherSpeaker : Ouais c'est ça !;;;;Narrator : Le campement n'est pas très grand. Un feu de joie brûle fort et quelques soldats boivent autour.;;;;;;;;;;;;;;;;;;
;;;LaunchCombat;OtherSpeak : Bon, entrez…;OtherSpeak : Vous vous foutez de moi ?!;Leave;;;;SetChoices3;;;;;;;;;;;;;;;;;;
;;;Narrator : Le garde est à terre. Et les portes du camp s'ouvrent;GoToB/18;Leave;;;;;Choice : Retourner à l'entrée;Choice : Parler aux soldats;;;;;;;;;;;Choice : Parler au chef;;;;;;
;;;NewCrew;;;;;;;OtherSpeak : Te revoilà manant;PlayerSpeak : Ahoi !;;;;;;;;;;;NewCharacter;;;;;;
;;;OtherSpeak : Qu'est-ce que c'est que cette tintanière ?!;;;;;;;GoToB/9;RandomRange2;;;;;;;;;;;PlayerSpeak : Olah !;;;;;;
;;;OtherSpeak : Putain ils ont tué Dédé ! Choppez les !;;;;;;;;OtherSpeak : On est occupé !;OtherSpeak : Oui ?;;;;;;;;;;OtherSpeak  : Hello !;;;;;;
;;;LaunchCombat;;;;;;;;GoToK/16;SetChoices4;;;;;;;;;;SetChoices2;;;;;;
;;;Narrator : Le camp est vide. Le feu de joie est éteint, il y a quelques tentes.;;;;;;;;;Choice : Non rien;Choice : Vous vous plaisez ici ?;;;;;;Choice : Ça vous parle, Bobby Dick ?;;Choice : Vous êtes un pd ( attaquer );Choice : Je dois y aller !;Choice : Vous avez des armes ?;;;;;
;;;SetChoices4;;;;;;;;;OtherSpeak : Ok…;RandomRange3;;;;;;RandomPercent40;;OtherSpeak : Enculé !;GoToK/15;RandomPercent40;;;;;
;;;Choice : Dormir près du feu;Choice : Fouiller une tente;;Choice : Fouiller une tente;;Choice : Fouiller une tente;;;;GoToK/16;OtherSpeak : C'est le paradis !;OtherSpeak : Bof…;;;OtherSpeak : Je n'ai qu'un rêve, c'est de partir.;;OtherSpeak : On a coulé un bateau pirate qui en parlait.;OtherSpeak : Non, rien du tout…;LaunchCombat;;OtherSpeak : Oui quelques une dans l'arrière tente.;;;;OtherSpeak : Que pour mes soldats !;
;;;PlayerSpeak : Au dodo !;RandomPercent20;;RandomPercent20;;RandomPercent20;;;;;PlayerSpeak : Ah…;SetChoices2;;;SetChoices2;;OtherSpeak : Ils allaient…;GoToT/28;GoToD/22;;OtherSpeak : Suivez moi;;;;SetChoices2;
;;;SetWeatherDay;PlayerSpeak : Des armes !;PlayerSpeak : Totalement vide !;PlayerSpeak : Que des babioles;PlayerSpeak : Rien dans celle-ci !;PlayerSpeak : Le garde manger ! ;PlayerSpeak : Ça sent bon !;;;;GoToK/16;Choice : Rejoins nous ( char );;Choice : C'est dommage !;Choice : Rejoins nous !;Choice : C'est dommage !;GiveDirection;;;;SetChoices;;;;Choice : PD;Choice : OK
;;;GoToD/22;LootWeapons;GoToD/22;LootMisc;GoToD/22;LootFood;PlayerSpeak : Mais je crois qu'il ont tout mangé;;;;;RandomPercent65;;GoToK/16;OtherSpeak : Avec plaisir !;GoToK/16;OtherSpeak : Je crois;;;;Choice : Je vous suis.;Choice : Peu pour moi;;;OtherSpeak : C'est toi pd;GoToW/21
;;;;GoToD/22;;GoToD/22;;GoToD/22;GoToD/22;;;;;OtherSpeak : Vraiment bof là…;OtherSpeak : Aller pourquoi pas;;AddMember;;SetChoices2;;;;HideAll;OtherSpeak : C'est vous qui voyez;;;LaunchCombat;
;;;;;;;;;;;;;;Choice : Tanpis pour toi !;PlayerSpeak : Bienvenue !;;GoToK/16;;Choice : Merci !;Choice : Viens donc le chercher avec nous !;;;ShowAll;;;;GoToD/22;
;;;;;;;;;;;;;;GoToK/16;AddMember;;;;GoToK/16;GoToK/16;;;OtherSpeak : Voilà la came!;;;;;
;;;;;;;;;;;;;;;GoToK/16;;;;;;;;RandomPercent85;;;;;
;;;;;;;;;;;;;;;;;;;;;;;TradeWeapons;OtherSpeak : Mais j'ai changé d'avis.;;;;
;;;;;;;;;;;;;;;;;;;;;;;GoToW/21;OtherSpeak : Tu vas me donner 150 pièces d'or.;;;;
;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak : Et et je te laisse en vie !;;;;
;;;;;;;;;;;;;;;;;;;;;;;;SetChoices2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Choice : Sûrement pas;Choice : Tenez;;;
;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak : Il t'en coutra tes argnoles ! ;CheckGold150;;;
;;;;;;;;;;;;;;;;;;;;;;;;LaunchCombat;RemoveGold150;;;
;;;;;;;;;;;;;;;;;;;;;;;;PlayerSpeak : AHA !;OtherSpeak :  Et ne revenez plus jamais ici;;;
;;;;;;;;;;;;;;;;;;;;;;;;NewCrew;Leave;;;
;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak : Capitaine !;;;;
;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak : Capitaine !;;;;
;;;;;;;;;;;;;;;;;;;;;;;;RandomPercent60;;;;
;;;;;;;;;;;;;;;;;;;;;;;;LaunchCombat;SetChoices2;;;
;;;;;;;;;;;;;;;;;;;;;;;;GoToD/22;Choice : Il a essayé de me voler !;;Choice : Vous êtes des pds !;
;;;;;;;;;;;;;;;;;;;;;;;;;RandomPercent20;;LaunchCombat;
;;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak : Ça arrive…;OtherSpeak : Mais oui c'es ça !;GoToD/22;
;;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak : Vous savez quoi…;OtherSpeak : à l'attaque !;;
;;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak :  Mais, ne revenez plus jamais ici;LaunchCombat;;
;;;;;;;;;;;;;;;;;;;;;;;;;SetChoices2;GoToD/22;;
;;;;;;;;;;;;;;;;;;;;;;;;;Choice : Compris !;Choice : PD !;;
;;;;;;;;;;;;;;;;;;;;;;;;;OtherSpeak : Allez, au revoir;LaunchCombat;;
;;;;;;;;;;;;;;;;;;;;;;;;;Conclude;GoToD/22;;
