Nom;Fréquence %;;;;;;;;;
Taverne;5;;;;;;;;;
[debut];;;;;;;;;;
Narrator : De la fumée monte dans le ciel et une odeur merveilleuse flotte dans l'air. C'est une taverne.;;;;;;;;;;
SetChoices2;;;;;;;;;;
Choice : Reprenons la mer;Choice : Entrons;;;;;;;;;
Leave;Fade;zeijhiznfezhifjds;;;;;;;;
;Node=>taverne;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[taverne];;;;;;;;;;
CheckDay;;;;;;;;;;
RandomRange2;;RandomRange2;;;;;;;;
Narrator : La taverne est bondée. Un grand feu de cheminée éclaire la pièce, et tout le monde raconte leurs journées autour. L'alcool embaume la pièce.;Narrator : La taverne est totalement vide de nuit… Le tavernier est à moitié endormi sur son comptoir et seul quelques client dorment dans le vomi de ce qu'ils ont mangé dans la soirée.;Narrator : La taverne est bondée. Les clients cris, rient, et s'engueulent. Même quelques musiciens sont venus faire danser les voyageurs.;Narrator : Il n'y a pas grand monde… Le silence domine les tables, seulement quelques vieux sirotent doucement leur chope.;;;;;;;
Node=>tavernier;Node=>tavernier;Node=>tavernier;Node=>tavernier;;;;;;;
;;;;;;;;;;
[choix taverne];;;;;;;;;;
SetChoices3;;;;;;;;;;
Choice : (repartir);Choice : (parler au tavernier);Choice : (faire un tour dans la salle);;;;;;;;
Fade;Fade;Fade;;;;;;;;
Leave;Node=>tavernier;Node=>salle;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[tavernier];;;;;;;;;;
NewCrew;;;;;;;;;;
OtherSpeak : Qu'est-ce que je peux faire pour vous ?;Node=>combat tavernier;OtherSpeak : Comment osez vous remettre les pieds dans mon auberge !?;;;;;;;;Node=>caca
Node=>choix1;;Node=>combat tavernier;;;;;;;;
;;;;;;;;;;
[choix1];;;;[choix2];;;;;;
SetChoices4;;;;SetChoices4;;;;;;
Choice : Des chambres pour mes hommes !;Choice : On a faim !;Choice : (autre);Choice : Ça ira pour aujourdh'ui;Choice : C'est quoi les nouvelles de la région ?;;Choice : (attaquer);Choice : Bobby Dick, ça vous parle ?;;Choice : (autre);
Node=>chambre;OtherSpeak : Regardez voir ce que j'ai;Node=>choix2;OtherSpeak : Bon bah à la prochaine !;RandomPercent40;;Node=>combat tavernier;RandomPercent50;;Node=>choix1;
;TradeFood;;HideOther;OtherSpeak : Qu'est-ce que j'en sais moi ?;GiveTip;;OtherSpeak : Non pas du tout.;OtherSpeak : Bien sûr ! Tous les alcooliques ici en parlent.;;
;Node=>choix1;;Fade;Node=>choix2;Node=>choix2;;Node=>choix2;OtherSpeak : Il partent…;;
;;;Leave;;;;;GiveDirectionToClue;;
;;;;;;;;Node=>choix2;;
;;;;;;;;;;
[combat tavernier];;;;;;;;;;
OtherSpeak : Sacre Bleu !;;;;;;;;;;
LaunchCombat;;;;;;;;;;
Node=>auberge vide;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[chambre];;;;;;;;;;
OtherSpeak : Ça sera 10 pièces d'or;;;;;;;;;;
SetChoices2;;;;;;;;;;
Choice : Tenez !;;Choice : Je n'ai pas assez…;;;;;;;;
CheckGold10;;OtherSpeak : C'est rien mon bon monsieur;;;;;;;;
RemoveGold10;OtherSpeak : Désolé mon bon m'sieur mais c'est pas assez;Node=>choix1;;;;;;;;
OtherSpeak : Prenez le dortoir à gauche en haut des escaliers !;Node=>choix1;;;;;;;;;
OtherSpeak : Bonne nuit;;;;;;;;;;
HideOther;;;;;;;;;;
RandomPercent5;;;;;;;;;;
SetWeatherNight;;;SetWeatherDay;;;;;;;
Narrator : Des craquements dans le couloir réveillent l'équipage;;;Narrator : L'équipe se réveille au chant des mouettes…;;;;;;;
SetChoices2;;;OtherSpeak : Alors, bien dormis ?;;;;;;;
Choice : Je vais voir ce que c'est;Choice : On verra demain…;;SetChoices2;;;;;;;
PlayerSpeak : Vous pensiez nous avoir comme ça ?!;SetWeatherDay;;Choice : Non j'ai très mal dormis;Choice : Oui merci !;;;;;;
Node=>combat tavernier;Narrator : L'équipage se réveille. La bourse du capitaine s'est bien allégée.;;OtherSpeak : Bah merde alors…;OtherSpeak : Génial;;;;;;
;PlayerSpeak : Ma bourse ! Qui a pris ma bourse !;;Node=>choix1;Node=>choix1;;;;;;
;RemoveGold100;;;;;;;;;
;SetChoices2;;;;;;;;;
;Choice : (Aller voir le tavernier);Choice : (Partir comme si de rien était);;;;;;;;
;Node=>choix1;Leave;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[auberge vide];;;;;;;;;;
Narrator : Il n'y a plus personne dans l'auberge.;;;;;;;;;;
SetChoices3;;;;;;;;;;
Choice : Chercher le garde manger;;;;;;;;;;
RandomPercent60;;;;Choice : Repasser une nuit à l'auberge;Choice : Reprendre le large;;;;;
Narrator : La porte du garde manger est entrouverte;;;;PlayerSpeak : Je crois qu'on a besoin d'une bonne nuit de sommeil;PlayerSpeak : On a rien plus rien à faire ici !;;;;;
SetChoices2;;;Narrator : La porte du garde manger est fermée;SetWeatherDay;Fade;;;;;
Choice : Fouiller;;Choice : Revenir;Node=>auberge vide;Node=>auberge vide;Leave;;;;;
