Nom histoire;Fréquence %;;
Verger;4;verger;
Narrator : L'île est toute petite.;;;
[debut];;;
Narrator : Quelques beaux arbres à fruits sont alignés à quelques mètres.;;;
[switch verger];;;
Node=>choix verger;Node=>consequence;;
[choix verger];;;
SetChoices2;;;
Choice : (cueillir les fruits);Choice : (partir);;
RandomRange4;Leave;;
PlayerSpeak : Des pommes !;PlayerSpeak : Des oranges !;PlayerSpeak : Des abricots !;PlayerSpeak : On dirait que des saletés de bêtes ont tout mangé !
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;Node=>choix verger
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;
AddToInventory<Pomme>/Food;AddToInventory<Orange>/Food;AddToInventory<Abricot>/Food;
Switch=>switch verger;Switch=>switch verger;Switch=>switch verger;
Node=>consequence;Node=>consequence;Node=>consequence;
;;;
[consequence];;;
RandomRange2;;;
Node=>fermier;[choix consequence];;
;SetChoices1;;
;Choice : (repartir);Choice : (faire un tour sur l'île);
;PlayerSpeak : Allons y avant que quelqu'un nous voie.;PlayerSpeak : Il n'y a pas l'air n'avoir grands choses d'autres.;
;Leave;Node=>choix consequence;
;;;
;;;
;;;
;;;
[fermier];;;
NewCrew1;;;
OtherSpeak : AU VOLEUR !;Node=>fermier mort;OtherSpeak : AU VOLEUR !;
SetChoices2;;Node=>combat fermier;
Choice : J'ai rien fais !(cha);;Choice : Qu'est-ce que tu vas faire !;
CheckStatCHA;;RandomRange2;
OtherSpeak : C'est sûrement une de ces bêtes.;OtherSpeak : Mes fesses !;OtherSpeak : Je vais reprendre mes pommes ! ;
RandomRange2;OtherSpeak : Je vais vous empaller !;[combat fermier];
OtherSpeak : Sortez de mon jardin maintenant !;Node=>combat fermier;LaunchCombat;
SetChoices2;;[fermier mort];
Choice : (partir);Choice : (attaquer);RandomRange2;
Leave;Node=>combat fermier;Narrator : Le fermier est mort. Sa ferme n'était manifestement pas sur l'île…;Narrator : Le fermier est mort… Vous voyez sa ferme au loin.
;;SetChoices1;ChangeStory=>Maison abandonnée[debut/fermier mort]
;;Choice : (partir);
;;Leave;
