;;;;ou;que;que;que;ou;que;que;que;que;que;que;que;ou;que;que;que;que
;Genre ;Poids;Valeur(1);aller;ouvrir;fermer;manger;dormir;regarder, observer;prendre, ramasser, saisir;remplir;boire;déplacer;lire;couper;entrer;jeter, bazarder;équiper, mettre;déséquiper, enlever;écouter
nord;ms;;;MOVE(0);;;;;;;;;;;;;;;;
nord-est;ms;;;MOVE(1);;;;;;;;;;;;;;;;
est;ms;;;MOVE(2);;;;;;;;;;;;;;;;
sud-est;ms;;;MOVE(3);;;;;;;;;;;;;;;;
sud;ms;;;MOVE(4);;;;;;;;;;;;;;;;
sud-ouest;ms;;;MOVE(5);;;;;;;;;;;;;;;;
ouest;ms;;;MOVE(6);;;;;;;;;;;;;;;;
nord-ouest;ms;;;MOVE(7);;;;;;;;;;;;;;;;
devant;ms;;;MOVEREL(0);;;;;;;;;;;;;;;;
droite;ms;;;MOVEREL(2);;;;;;;;;;;;;;;;
derrière;ms;;;MOVEREL(4);;;;;;;;;;;;;;;;
gauche;ms;;;MOVEREL(6);;;;;;;;;;;;;;;;
inventaire;ms;;;;DISPLAYINVENTORY;CLOSEINVENTORY;;;DISPLAYINVENTORY;;;;;;;;;;;
sac;ms;;;;DISPLAYINVENTORY;CLOSEINVENTORY;;;DISPLAYINVENTORY;;;;;;;;;;;
alentours;ms;;;;;;;;DESCRIBE;;;;;;;;;;;
porte;fs;;;;ENTER;;;;;;;;;;;ENTER;ENTER;;;
champignon;ms;1;;;;;EAT(1,1);;;TAKE;;;;;;;THROW;;;
flaque;fs;;;;;;;;;;;DRINK(1);;;;;;;;
lit;ms;;;;;;;SLEEP(4);;;;;;;;;;;;
gourde pleine;fs;3;;;;;;;;TAKE;;DRINK(5)/ADDTOINVENTORY(gourde vide)/REMOVEFROMINVENTORY(gourde pleine);;;;;THROW;;;
gourde vide;fs;2;;;;;;;;TAKE;REQUIRE(évier,douche,cuvette)/REMOVEFROMINVENTORY(gourde vide)/ADDTOINVENTORY(gourde pleine)/DISPLAY(La gourde est maintenant pleine);;;;;;THROW;;;
évier;ms;;;;;;;;;;;DRINK(10);;;;;;;;
douche;fs;;;;;;;;;;;DRINK(10);;;;;;;;
cuvette;fs;;;;;;;;;;;DRINK(10);;;;;;;;
lettre;ms;;;;;;;;GIVECLUE;;;;;GIVECLUE;;;;;;
tableau;ms;;;;;;;;;;;;MOVEAWAY;;;;;;;
arbre;ms;;;;;;;;;;;;MOVEAWAY;;DISPLAY(L’arbre s’écroule par terre)/REMOVEFROMTILE(arbre)/ADDTOTILE(bûche,5)/ADDTOTILE(petit bois,10);DISPLAY(L’arbre s’écroule par terre)/REMOVEFROMTILE(arbre)/ADDTOTILE(bûche,5)/ADDTOTILE(petit bois,10);;;;
bûche;ms;4;;;;;;;;TAKE;;;;;DISPLAY(Vous découpez la bûche en plusieurs morceaux)/ADDTOTILE(petit bois,3);DISPLAY(Vous découpez la bûche en plusieurs morceaux)/ADDTOTILE(petit bois,3);THROW;;;
branche;ms;3;;;;;;;;TAKE;;;;;;;THROW;;;
tomate pourrie;fs;1;;;;;EAT(1);;;TAKE;;;;;;;THROW;;;
brocoli pourri;ms;1;;;;;EAT(1);;;TAKE;;;;;;;THROW;;;
pomme pourrie;fs;1;;;;;EAT(1);;;TAKE;;;;;;;THROW;;;
banane pourrie;fs;1;;;;;EAT(1);;;TAKE;;;;;;;THROW;;;
bouteille de lait;ms;2;;;;;;;;TAKE;;DRINK(5);;;;;THROW;;;
bouteille de lait périmé;ms;2;;;;;;;;TAKE;;DRINK(3);;;;;THROW;;;
pain;ms;1;;;;;EAT(1,1);;;TAKE;;;;;;;THROW;;;
pain périmé;ms;1;;;;;EAT(1);;;TAKE;;;;;;;THROW;;;
bouteille d’eau;fs;2;;;;;;;;TAKE;;DRINK(10);;;;;THROW;;;
carotte;fs;1;;;;;EAT(1,1);;;TAKE;;;;;;;THROW;;;
carotte douteuse;fs;1;;;;;EAT(1);;;TAKE;;;;;;;THROW;;;
conserve de viande;fs;3;;;;;EAT(4);;;TAKE;;;;;;;THROW;;;
conserve de tomate;fs;3;;;;;EAT(3);;;TAKE;;;;;;;THROW;;;
conserve de thon;fs;3;;;;;EAT(3);;;TAKE;;;;;;;THROW;;;
cannette de soda;fs;3;;;;;;;;TAKE;;DRINK(3);;;;;THROW;;;
couteau;ms;2;;;;;;;;TAKE;;;;;;;THROW;;;
serpillière;fs;5;1;;;;;;;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP;
pelle;fs;6;3;;;;;;;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP;
clé;fs;1;;;;;;;;TAKE;;;;;;;THROW;;;
roman;ms;3;;;;;;;;TAKE;;;;;;;THROW;;;
recette;fs;1;;;;;;;;TAKE;;;;;;;THROW;;;
manuel;ms;2;;;;;;;;TAKE;;;;;;;THROW;;;
journal;ms;2;;;;;;;;TAKE;;;;;;;THROW;;;
magazine;ms;2;;;;;;;;TAKE;;;;;;;THROW;;;
dollar;ms;;;;;;;;;TAKE;;;;;;;THROW;;;
lecteur mp3;ms;4;;;;;;;;TAKE;;;;;;;THROW;;;
poupée;fs;3;;;;;;;;TAKE;;;;;;;THROW;;;
stylo;ms;1;;;;;;;;TAKE;;;;;;;THROW;;;
cuillère;fs;1;;;;;;;;TAKE;;;;;;;THROW;;;
fourchette;fs;1;1;;;;;;;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP;
assiette;fs;1;;;;;;;;TAKE;;;;;;;THROW;;;
bol;ms;1;;;;;;;;TAKE;;;;;;;THROW;;;
verre;ms;1;;;;;;;;TAKE;;;;;;;THROW;;;
éponge;fs;1;;;;;;;;TAKE;;;;;;;THROW;;;
parfum;ms;1;;;;;;;;TAKE;;;;;;;THROW;;;
canard en plastique;ms;1;;;;;;;;TAKE;;;;;;;THROW;;;
serviette;fs;2;;;;;;;;TAKE;;;;;;;THROW;;;
dentifrice;ms;1;;;;;;;;TAKE;;;;;;;THROW;;;
brosse à dent;fs;1;1;;;;;;;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP(weapon);
téléviseur;ms;;;;;;;;;;;;;;;;;;;
table;fs;;;;;;;;;;;;;;;;;;;
canapé;ms;;;;;;;SLEEP(2);;;;;;;;;;;;
horloge;fs;;;;;;;;;;;;;;;;;;;
fenêtre;fs;;;;;;;;DESCRIBEEXTERIOR;;;;;;;;;;;
téléphone;ms;;;;;;;;;;;;;;;;;;;
ordinateur;ms;;;;;;;;;;;;;;;;;;;
radio;fs;5;;;;;;;;TAKE;;;;;;;THROW;;;
appareil photo;ms;3;;;;;;;;TAKE;;;;;;;THROW;;;
voiture;fs;;;;;;;;;;;;;;;;;;;
bâteau;ms;;;;;;;;;;;;;;;;;;;
pantalon;ms;1;1;;;;;;;TAKE;;;;;;;THROW;EQUIP(bottom);UNEQUIP(bottom);
t-shirt;ms;1;1;;;;;;;TAKE;;;;;;;THROW;EQUIP(body);UNEQUIP(body);
veste;fs;1;2;;;;;;;TAKE;;;;;;;THROW;EQUIP(body);UNEQUIP(body);
manteau;ms;1;3;;;;;;;TAKE;;;;;;;THROW;EQUIP(body);UNEQUIP(body);
chaussures;fs;2;1;;;;;;;TAKE;;;;;;;THROW;EQUIP(feet);UNEQUIP(feet);
lunettes;ms;1;1;;;;;;;TAKE;;;;;;;THROW;EQUIP(head);UNEQUIP(head);
montre;fs;1;;;;;;;;TAKE;;;;;;;THROW;EQUIP(head);UNEQUIP(head);
casque moto;ms;3;3;;;;;;;TAKE;;;;;;;THROW;EQUIP(head);UNEQUIP(head);
machine à laver;fs;;;;;;;;;;;;;;;;;;;
bougie;ms;;;;;;;;;TAKE;;;;;;;THROW;;;
lampe torche;fs;1;;;;;;;;TAKE;;;;;;;THROW;EQUIP(misc);UNEQUIP(misc);
rouleau de scotch;ms;1;;;;;;;;TAKE;;;;;;;THROW;;;
vise;fs;;;;;;;;;TAKE;;;;;;;THROW;;;
papier;ms;;;;;;;;;TAKE;;;;;;;THROW;;;
baie;fs;;;;;;;;;TAKE;;;;;;;THROW;;;
