;;;;;;;;;;
CSV Path;C:\Users\gabri\OneDrive\Documents\Unity\Bobby Dick\trunk\TestTiles\Assets\Resources;;;;;;;;;
Durée Jour;80;;;;;;;;;
Durée Rush Hour;7;;;;;;;;;
Durée Jour (sans rush hour);Si vous vous êtes trompé d’ingrédients, vous devez vider votre assiette ! Il suffit de toucher l’assiette en bas de l’écran, et vous pourrez recommencer le plat.;;;;;;;;;
Max Start Rate;9;Max End Rate;7,5;Min Client Amount;10;;;;;
Min Start Rate;6,5;Min End Rate;5,5;Max Client  Amount;60;;;;;
Max Rush Hour Rate;7;;;;;;;;;
Min Rush Hour Rate;5;;;;;;;;;
Last Level;35;;;;;;;;;
Gold Per Client;5;;;;;;;;;
RH Appear Time;50;;;;;;;;;
mult;Name ?;Nombre Client;Normal Rate Start;Normal Rate End;Rush Rate;New Clients;Description;;;durée
0;tuto ;3;10;8;4;;;;;
1;1;11;8,93;7,44;6,94;;;;;
2;2;13;8,86;7,39;6,89;;;;;
3;3;14;8,79;7,33;6,83;Blob Ivrogne;Votre taverne fait parler d’elle, même les ivrognes du quartiers commencent tout doucement à débarquer. Il vaut mieux remplir les fûts.;Drunk Blob;People have heard of your inn from far in the forest. Even the country drunks start to show up. Better fill the casks ! ;
4;4;16;8,71;7,27;6,77;;;;;
12;5;27;8,14;6,81;6,31;;;;;
6;6;19;8,57;7,16;6,66;;;;;
7;7;20;8,5;7,1;6,6;Blob Gourmet;Préparez vous à voir arriver les plus fin gourmets de la région. Ils sont plus lents et prennent leur temps.;Gourmet Blob;Get ready the finests gourmets in the forest. They like it big and sweet.;
8;8;21;8,43;7,04;6,54;;;;;
9;9;23;8,36;6,99;6,49;;;;;
16;10;33;7,86;6,59;6,09;;;;;
11;11;26;8,21;6,87;6,37;Blob Pecheur;Les pêcheurs ont entendus parler de vous. Après leur longues journées en mer, ils viennent goûter votre poisson !;Fisherman Blob;The fishermen have heard about your inn. After their long days at sea, they’re coming to test your fish.;
12;12;27;8,14;6,81;6,31;;;;;
13;13;29;8,07;6,76;6,26;;;;;
14;14;30;8;6,7;6,2;;;;;
22;15;41;7,43;6,24;5,74;Vieux blob;Même s’ils mettent l’après midi à venir à la taverne, c’est chez vous que les blob du troisième âge dégusteront leur soupe chaude et crémeuse !;Old blob;Even though it takes them hours to come here, it’s in your inn that the elderly blobs will taste your warm and fresh soup.;
16;16;33;7,86;6,59;6,09;;;;;
17;17;34;7,79;6,53;6,03;;;;;
18;18;36;7,71;6,47;5,97;;;;;
19;19;37;7,64;6,41;5,91;Blob Pieux;Malgré l’ambiance pas très catholique, les Blobs les plus pieux ne peuvent plus ignorer votre taverne. Ils y viendront pour goûter aux raisins qui ont poussés dans leurs vignes.;Religious Blob;Despite the unonly atmospheres, the most god fearing blobs can’t ignore your inn anymore. They’ll come to taste the grapes that grew in their vines.;
27;20;49;7,07;5,96;5,46;;;;;
21;21;40;7,5;6,3;5,8;;;;;
22;22;41;7,43;6,24;5,74;;;;;
23;23;43;7,36;6,19;5,69;Bébé Blob;Ça y est, la réputation de la taverne est telle que même les bébés blobs préfèrent venir boire votre lait, plutôt que celui de leur propre maman blob.;Baby Blob;That’s it, your inn’s reputation is such that even the baby blobs rather drink your milk, then the one from their one mothers.;
24;24;44;7,29;6,13;5,63;;;;;
31;25;54;6,79;5,73;5,23;;;;;
26;26;47;7,14;6,01;5,51;Blob Sportif;Après un marathon ou une bonne session à la gym, le blob sportif ira désormais manger sa salade dans la taverne.;Jock Blob;After a good run, or a afternoon at the gym, the jock blobs will now eat their salad in your inn.;
27;27;49;7,07;5,96;5,46;;;;;
28;28;50;7;5,9;5,4;;;;;
29;29;51;6,93;5,84;5,34;Blob bobo;Votre restaurant est à la mode. Les blobs les plus sophistiqués viendront bruncher ici, alors mettez des œufs sur la poêle.;Snob Blob;You restaurant is now IN and hype. The most sophisticated blobs will brunch here. Get your eggs on the fryer.;
35;30;60;6,5;5,5;5;;;;;
35;endless;60;6,5;5,5;5;;;;;
