Déplacement;Movement;"Bienvenue dans votre taverne !
Pour vous déplacer, faites glisser votre doigt dans la direction désirée, n’importe ou sur l’écran";"Welcome to your inn !
To move around, swipe in the direction you want, anywhere on the screen !";&
Clients;Clients;"Voilà votre premier client.
Attendez qu’il trouve une table et qu’il s’assoit";"Here’s your first client.
Wait for him to find a table and take a seat.";&
Commande;Order;"Il n’y a plus qu’à prendre sa commande.
Déplacez vous sur la table pour interagir avec le client";"Now let’s take his order.
Move on his table to interact with it.";&
Ingrédients;Ingredients;"Maintenant que vous savez ce qu’il faut au client, allez lui chercher !
Glissez vers les distributeurs d’ingrédients pour les mettre dans une assiette, sans ordres précis.";"Now that you know what he wants, go and get it !
Slide to the food dispencers to put the ingredients it the plate, in any order !";&
Vider l’assiette;Empty plate;"Si vous vous êtes trompé d’ingrédients, vous devez vider votre assiette !
Il suffit de glisser vers la poubelle.";"If you got the wrong ingredients, you need to empty your plate.
Just slide to the garbage can to do so.";&
Service;Serve;"Vous avez servis le client,
Il faut maintenant attendre avant qu’il nous paye...";"You serve the client alright.
Now let’s wait for to eat.";&
L’or;Gold !;"Pour qu’un client parte de la taverne, il faut l’encaisser.
Glisser vers sa table pour prendre l’or.";"You need to cash a client for him to leave.
Slide on his table to take his gold.";&
Patience;Patience;"S’ils attendent trop longtemps, les clients partent sans payer.
Vous perdez une vie !";"If they wait for too long, clients WILL leave.
You’ll lose a life.";&
Patience;Patience;"La patience du client descend plus vite quand il attend une table.
Plus il attend, plus il est rouge.";"The more a client waits, the redder he gets.
Patience lowers faster when the clients are not seated.";&
Carte;Map;"Ici, c’est la carte.
Plus vous avancez dans le jeu, plus les clients sont nombreux et capricieux !
Vous allez avoir besoin d’améliorer la taverne.";"This is the map.
Clients get more spoiled and impatient the higher you get.
You’ll need to upgrade your inn !";&
Tables;Tables;"Les tables supplémentaires permettent d’agrandir la taverne et d’accueillir plus de clients ! 
Indispensable.";"More tables mean more time and more clients for you !
You can’t do without.";&
Assiettes;Plates;"Quand vous aurez plus d’une assiette,
Vous pourrez choisir dans le menu du bas celle que vous remplirez.";"When you’ll have more then one plate,
you’ll be able to swipe between them in the bottom screen.";&
Ingrédients;Ingredients;"Vous ne pourrez pas satisfaire les clients
Si vous n’avez pas de qu’il leur faut.";"You can’t satisfy your clients,
If you don’t have what they want !";&
Serveurs;Waiters;"Quand les choses seront hors de votre contrôle,
Il suffira de toucher une table et un serveur s’en occupera.";"When things will go out of control, you’ll need some help in the kitchen.
Just touch a table and they’ll be on they’re way.";&
Nouveaux clients;New clients;"Voilà un nouveau client.
Assurez vous d’avoir tous les ingrédients nécessaires pour le satisfaire !
Et n’hésitez pas à refaire les niveaux précédents si l’or manque !";"That’s a new type of client !
Make sure you have the ingredient he wants.
And if you run short on money, don’t hesitate to run previous levels again !";&
Plus d’or !;More Gold !;"Si vous ne gagnez pas de l’or assez vite,
n’hésitez pas à prendre quelques secondes pour doubler l’or que les clients vous donnent !";"If you don’t win gold fast enough,
Do take a few seconds to double the gold clients give you !";&
Blob;Blob;"Si votre blob ne vous convient pas,
Refaites lui une beauté ici !";"If your blob isn’t right to you,
Give him a makeover in here !";&
Vies supplémentaires;More life;"Lorsque vous n’avez plus de vies, vous pouvez en reprendre avec des diamants
( Les princes vous en donneront dans la taverne )
Ou après avoir regardé une vidéo de quelques secondes.";"When you run out of lives, you can get more with diamonds
( princes will give you some in the tavern )
Or after watching a few seconds videos.";&
