;frigo;coffre;armoire;placard;étagère;porte monnaie;boîte à outil;armoire de toilette
nord;;;;;;;;
nord-est;;;;;;;;
est;;;;;;;;
sud-est;;;;;;;;
sud;;;;;;;;
sud-ouest;;;;;;;;
ouest;;;;;;;;
nord-ouest;;;;;;;;
devant;;;;;;;;
droite;;;;;;;;
derrière;;;;;;;;
gauche;;;;;;;;
inventaire;;;;;;;;
sac;;;;;;;;
alentours;;;;;;;;
porte;;;;;;;;
champignon;;;;;;;;
flaque;;;;;;;;
lit;;;;;;;;
gourde pleine;;5;;;;;;
gourde vide;;5;;;;;;
évier;;;;;;;;
douche;;;;;;;;
cuvette;;;;;;;;
lettre;;;;;;;;
tableau;;;;;;;;
arbre;;;;;;;;
bûche;;;;;;;;
branche;;;;;;;;
tomate pourrie;5;;;;;;;
brocoli pourri;5;;;;;;;
pomme pourrie;5;;;;;;;
banane pourrie;6;;;;;;;
bouteille de lait;6;;;;;;;
bouteille de lait périmé;6;;;;;;;
pain;2;;;;;;;
pain périmé;2;;;;;;;
bouteille d’eau;6;;;;;;;
carotte;6;;;;;;;
carotte douteuse;6;;;;;;;
conserve de viande;1;;;3*4;;;;
conserve de tomate;1;;;3*4;;;;
conserve de thon;1;;;3*4;;;;
cannette de soda;1;;;3*4;;;;
couteau;;3;;10;;;;
serpillière;;3;;;;;;
pelle;;3;;;;;;
clé;;3;;;;;;
roman;;3;;;6*10;;;
recette;;3;;4*8;;;;
manuel;;3;;;6*10;;;
journal;;3;;;2*5;;;
magazine;;3;;;2*5;;;
dollar;;10*1;;;;100*4;;
lecteur mp3;;2;;;;;;
poupée;;2;;;;;;
stylo;;2;;;;;;
cuillère;;2;;;;;;
fourchette;;2;;;;;;
assiette;;2;;;;;;
bol;;2;;;;;;
verre;;2;;;;;;
éponge;;2;;;;;;10
parfum;;2;;;;;;5
canard en plastique;;2;;;;;;5
serviette;;2;;;;;;3*10
dentifrice;;2;;;;;;15
brosse à dent;;2;;;;;;2*15
téléviseur;;;;;;;;
table;;;;;;;;
canapé;;;;;;;;
horloge;;2;;;;;;
fenêtre;;;;;;;;
téléphone;;;;;;;;
ordinateur;;;;;;;;
radio;;5;;;;;;
appareil photo;;5;;;;;;
voiture;;;;;;;;
bâteau;;;;;;;;
pantalon;;2;4*10;;;;;
t-shirt;;2;4*10;;;;;
veste;;2;2*10;;;;;
manteau;;2;10;;;;;
chaussures;;2;2*5;;;;;
lunettes;;2;;;;;;
montre;;2;;;;;;
casque moto;;;;;;;;
machine à laver;;;;;;;;
bougie;;;;;;;;
lampe torche;;;;;;;25;
rouleau de scotch;;;;;;;20;
vise;;;;;;;5*10;
papier;;;;;;;;
