;Plain;Field;Clearing;Hill;Mountain;Forest;Woods;Sea;Lake;River;Beach;Road;TownRoad;CoastalRoad;Path;Bridge;Building;Farm;ForestCabin;CountryHouse;Hallway;Stairs;LivingRoom;Kitchen;DiningRoom;ChildBedroom;Bedroom;Bathroom;Toilet;Attic;Basement;Cellar;Office
nord;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nord-est;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
est;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sud-est;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sud;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sud-ouest;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ouest;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nord-ouest;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
devant;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
droite;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
derrière;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gauche;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inventaire;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sac;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alentours;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
porte;;;;;;;;;;;;;;;;;100;100;100;100;;;;;;;;;;;;;
champignon;;;;;;5*2;10*90;;;;;20;20;20;;;;;;;;;;;10;;;;;;;;
flaque;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
lit;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;;;;;
gourde pleine;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;
gourde vide;;;;;;;;;;;;;;;;;;;;;;;;10;10;;;;;;;;
évier;;;;;;;;;;;;;;;;;;;;;;;;;20;;;100;;;;;
