;Dans l’herbe;Au pied d’un arbre;près d’un buisson;en plein milieu du chemin;Au bord du chemin;Près du mur;Sur une marche;sur le comptoir;près de l’entrée;sur la cuvette;dans la douche;dans l’évier;sur le lit
Plain;1;;;;;;;;;;;;
Field;1;;;;;;;;;;;;
Clearing;1;;;;;;;;;;;;
Hill;;;;;;;;;;;;;
Mountain;;;;;;;;;;;;;
Forest;1;1;1;;;;;;;;;;
Woods;1;1;1;;;;;;;;;;
Sea;;;;;;;;;;;;;
Lake;;;;;;;;;;;;;
River;;;;;;;;;;;;;
Beach;;;;;;;;;;;;;
Road;;;;;;;;;;;;;
TownRoad;;;;;;;;;;;;;
CoastalRoad;;;;;;;;;;;;;
Path;;;;;;;;;;;;;
Bridge;;;;;;;;;;;;;
Building;;;;;;;;;1;;;;
Farm;;;;;;;;;1;;;;
ForestCabin;;;;;;;;;1;;;;
CountryHouse;;;;;;;;;1;;;;
Hallway;;;;;;1;;;;;;;
Stairs;;;;;;1;1;;;;;;
LivingRoom;;;;;;1;;1;1;;;;
Kitchen;;;;;;1;;;1;;;;
DiningRoom;;;;;;1;;;1;;;;
ChildBedroom;;;;;;1;;;1;;;;1
Bedroom;;;;;;1;;;1;;;;1
Bathroom;;;;;;1;;;1;;1;1;
Toilet;;;;;;1;;;1;1;;;
Attic;;;;;;1;;;1;;;;
Basement;;;;;;1;;;1;;;;
Cellar;;;;;;1;;;1;;;;
Office;;;;;;1;;;1;;;;
