Provisions;Description;Value;$;W;LVL;Sprite ID
Hareng;C'est un hareng;26;8;2;0;2
Sardine;C'est un sardine;20;6;1;0;2
Thon;C'est un thon;29;9;2;0;2
Palourde;C'est un palourde;21;6;4;0;2
Lotte;C'est un lotte;25;8;4;0;2
Morue;C'est un morue;20;6;3;0;2
Crabe;C'est un crabe;20;6;3;0;2
Crevette;C'est un crevette;24;7;2;0;2
Saumon;C'est un saumon;20;6;4;0;2
Cabillaud;C'est un cabillaud;24;7;3;0;2
Homard;C'est un homard;22;7;4;0;2
Maquereau;C'est un maquereau;28;8;4;0;2
Esturgeon;C'est un esturgeon;22;7;4;0;2
Colin;C'est un colin;19;6;3;0;2
Lardon;C'est un lardon;34;10;2;0;3
Lapin;C'est un lapin;36;11;5;0;3
Poulet;C'est un poulet;31;9;4;0;3
Boeuf;C'est un boeuf;29;9;5;0;3
Porc;C'est un porc;38;11;6;0;3
Cochon;C'est un cochon;34;10;5;0;3
Gros jambon;C'est un gros jambon;33;10;5;0;3
Petit jambon;C'est un petit jambon;39;12;6;0;3
Rumsteak;C'est un rumsteak;39;12;6;0;3
Saucisson;C'est un saucisson;38;11;6;0;3
Betterave;C'est un betterave;11;3;3;0;1
Chou de Bruxelles;C'est un chou de bruxelles;15;5;2;0;1
Châtaigne;C'est un châtaigne;15;5;1;0;1
Citron;C'est un citron;11;3;1;0;1
Poire;C'est un poire;19;6;1;0;1
Maïs;C'est un maïs;17;5;2;0;1
Carotte;C'est un carotte;19;6;2;0;1
Ananas;C'est un ananas;10;3;3;0;1
Clémentine;C'est un clémentine;11;3;2;0;1
Orange;C'est un orange;10;3;2;0;1
Champignon;C'est un champignon;19;6;2;0;1
Pomme;C'est un pomme;14;4;1;0;1
Asperges;C'est un asperges;13;4;2;0;1
Abricot;C'est un abricot;11;3;2;0;1
