Divers;Description;Value;$;W;LVL;Sprite ID
Jeu de carte;C'est un jeu de carte;0;2;1;0;1
Boucles d'oreilles;C'est un boucles d'oreilles;0;5;3;0;1
Trompette;C'est un trompette;0;4;2;0;1
Longue vue;C'est un longue vue;0;3;2;0;1
Peluche;C'est un peluche;0;2;1;0;1
Dés;C'est un dés;0;1;1;0;1
Livre de recettes;C'est un livre de recettes;0;1;1;0;1
Bout de papier;C'est un bout de papier;0;8;4;0;1
Roman;C'est un roman;0;1;1;0;1
Oreiller;C'est un oreiller;0;7;4;0;1
Plume;C'est un plume;0;9;5;0;1
Encrier;C'est un encrier;0;9;5;0;1
Poupée vaudou;C'est un poupée vaudou;0;4;2;0;1
Fil;C'est un fil;0;5;3;0;1
Perle;C'est un perle;0;6;3;0;1
Coquillage;C'est un coquillage;0;4;2;0;1
Collier de nouille;C'est un collier de nouille;0;6;3;0;1
Luth;C'est un luth;0;5;3;0;1
Corde;C'est un corde;0;8;4;0;1
Puzzle;C'est un puzzle;0;7;4;0;1
Bout de bois;C'est un bout de bois;0;5;3;0;1
Bougie fondue;C'est un bougie fondue;0;3;2;0;1
Bouton de chemise;C'est un bouton de chemise;0;8;4;0;1
Lanterne;C'est un lanterne;0;1;1;0;1
Louche;C'est un louche;0;6;3;0;1
Fourchette;C'est un fourchette;0;4;2;0;1
Cuillère;C'est un cuillère;0;4;2;0;1
Carafe;C'est un carafe;0;2;1;0;1
Verre en argent;C'est un verre en argent;0;5;3;0;1
Guitare;C'est un guitare;0;12;6;0;1
Accordéon;C'est un accordéon;0;10;5;0;1
Flûte;C'est un flûte;0;7;4;0;1
Clé;C'est un clé;0;5;3;0;1
Peluche;C'est un peluche;0;7;4;0;1
Livre pour enfant;C'est un livre pour enfant;0;7;4;0;1
