Vêtement;Description;Value;$;W;LVL
Habit de noble;C'est un habit de noble;10;21;5;1
Marcel;C'est un marcel;11;24;6;1
Toge en tissu;C'est un toge en tissu;13;27;7;1
Habit de paysan;C'est un habit de paysan;13;34;7;1
Tenue de voyageur;C'est un tenue de voyageur;14;32;7;1
Fourrure;C'est un fourrure;15;37;8;1
Salopette;C'est un salopette;16;34;8;1
Habit de mineur;C'est un habit de mineur;17;37;9;1
Chemise de maille;C'est un chemise de maille;22;49;11;2
Armure de parade;C'est un armure de parade;26;52;13;2
Armure de bois;C'est un armure de bois;26;54;13;2
Cuirasse rouillée;C'est un cuirasse rouillée;24;50;12;2
Harnais de cuir;C'est un harnais de cuir;22;54;11;2
Veste renforcée;C'est un veste renforcée;30;67;15;2
Plastron de cuir;C'est un plastron de cuir;36;77;18;3
Epaulières;C'est un epaulières;35;78;18;3
Tenue d'officier;C'est un tenue d'officier;39;79;20;3
Habit de bandit;C'est un habit de bandit;36;75;18;3
Plastron de fer;C'est un plastron de fer;60;127;30;4
Cotte de maille;C'est un cotte de maille;60;127;30;4
Armure en acier;C'est un armure en acier;65;136;33;5
Armure en plaque;C'est un armure en plaque;90;184;45;6
