naufragé;5;7;%;TOTAL;TOTAL %;;;;;
bandits;3;4;%;67;94;;;;;
ile déserte;10;15;%;;;;;;;
taverne;4;6;%;;;;;;;
caserne;2;3;%;;;;;;;
village;5;7;%;;;;;;;
forgeron;2;3;%;;;;;;;
hangar;3;4;%;;;;;;;
casino;1;1;%;;;;;;;
ferme;3;4;%;;;;;5;;67
grotte;2;3;%;;;;;3;;
épave;5;7;%;;;;;10;;
marchand vetements;3;4;%;;;;;4;;
marchand indices;3;4;%;;;;;2;;
marchand armes;3;4;%;;;;;5;;
bois;7;10;%;;;;;2;;
manoir abandonné;3;4;%;;;;;3;;
verger;3;4;%;;;;;1;;
;;;;;;;;3;;
;;;;;;;;2;;
;;;;;;;;5;;
;;;;;;;;3;;
;;;;;;;;3;;
;;;;;;;;3;;
;;;;;;;;7;;
;;;;;;;;3;;
;;;;;;;;3;;
