Nom;Fréquence %;;;;;;;;;;;
Caserne;3;caserne;;;;;;;;;;
[debut];;;;;;;;;;;;
Narrator : Une odeur d'acier résonne dans l'air. Cette île est une caserne militaire.;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : Reprendre le large;Choice : Accoster;;;;;;;;;;;
PlayerSpeak : Osef !;Node=>entrée caserne;;;;;;;;;;;
Leave;;;;;;;;;;;;
;;;;;;;;;;;;
[entrée caserne];;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;
OtherSpeak : Eh là ! Manant !;Narrator : Un soldat gardait la porte mais il est mort.;;OtherSpeak : Vous osez remettre les pieds ici ?;;;;;;;;;
OtherSpeak : Qu'est-ce que tu fais ici !?;SetChoices2;;Node=>combat garde;;;;;;;;;
Node=>choix garde;Choice : Entrer;Choice : Repartir;;;;;;;;;;
;Node=>caserne vide;Leave;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[choix garde];;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;
Choice : (attaquer);Choice : Nan rien !;Choice : Je cherche armes et sustentements !;;;;;;;;;;
Node=>combat garde;OtherSpeak : A la prochaine !;RandomPercent29;;;;;;;;;;
;Leave;OtherSpeak : Eh bien tu peux aller te faire voir…;OtherSpeak : Entre !;;;;;;;;;
;;Node=>pas rentrer;Node=>caserne;;;;;;;;;
[pas rentrer];;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;
Choice : (attaquer);Choice : (cha);;Choice : Pas de problèmes !;;;;;;;;;
Node=>combat garde;CheckStatCHA;;OtherSpeak : Ouais c'est ça !;;;;;;;;;
;OtherSpeak : Bon, entrez…;OtherSpeak : Vous vous foutez de moi ?!;Leave;;;;;;;;;
;Node=>caserne;OtherSpeak : Cassez vous !;;;;;;;;;;
;;Node=>pas rentrer;;;;;;;;;;
;;;;;;;;;;;;
[combat garde];;;;;;;;;;;;
PlayerSpeak : Tu en décuira !;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;
Narrator : Le garde est à terre. Et les portes du camp s'ouvrent;;;;;;;;;;;;
Fade;;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;
OtherSpeak : Qu'est-ce que c'est que cette tintanière ?!;;;;;;;;;;;;
OtherSpeak : Putain ils ont tué Dédé ! Choppez les !;;;;;;;;;;;;
Node=>combat soldats;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[caserne];;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;
Narrator : Le campement n'est pas très grand. Un feu de joie brûle fort et quelques soldats boivent autour.;Node=>caserne vide;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;
Choice : (retourner à l'entrée);Choice : (parler aux soldats);;Choice : Je veux parler à votre chef !;;;;;;;;;
Fade;PlayerSpeak : Ahoi !;;RandomPercent75;;;;;;;;;
Node=>debut;RandomPercent30;;OtherSpeak : Suis moi !;OtherSpeak : On en a pas.;;;;;;;;
;OtherSpeak : On est occupé !;OtherSpeak : Oui ?;Fade;Node=>caserne;;;;;;;;
;Node=>caserne;Node=>choix soldats;Node=>chef caserne;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[choix soldats];;;;;;;;;;;;
SetChoices4;;;;;;;;;;;;
Choice : Non rien;Choice : Vous vous plaisez ici ?;Choice : Ça vous parle, Bobby Dick ?;;Choice : (attaquer);;[engagement];;;;;;
OtherSpeak : Ok…;Node=>engagement;RandomRange2;;Node=>combat soldats;;Node=>pas encore;Node=>déjà;;;;;
Node=>choix soldats;;OtherSpeak : On a coulé un bateau pirate qui en parlait.;OtherSpeak : Non, rien du tout…;;;;;;;;;
;;OtherSpeak : Ils allaient DIRECTIONTOFORMULA;Node=>choix soldats;;;[pas encore];;;;;;[déjà]
;;OtherSpeak : Je crois;;;;RandomRange3;;;;;;OtherSpeak : Vous nous avez déjà pris un copain.
;;SetChoices2;;;;OtherSpeak : C'est le paradis !;OtherSpeak : Bof…;;;OtherSpeak : Je n'ai qu'un rêve, c'est de partir.;;OtherSpeak : Laissez nous maintenant
;;Choice : Merci !;Choice : Viens donc le chercher avec nous !;;;PlayerSpeak : Ah…;SetChoices2;;;SetChoices2;;Node=>choix soldat
;;Node=>choix soldats;RandomPercent85;;;Node=>choix soldats;Choice : (cha);;Choice : C'est dommage !;Choice : Rejoins nous !;Choice : C'est dommage !;
;;;OtherSpeak : Vraiment bof là…;OtherSpeak : Allez pourquoi pas;;;CheckStatCHA;;OtherSpeak : Mouais…;OtherSpeak : Avec plaisir !;OtherSpeak : Ouais…;
;;;PlayerSpeak : Tanpis pour toi !;PlayerSpeak : Bienvenue !;;;OtherSpeak : Vraiment bof là…;OtherSpeak : Allez pourquoi pas;Node=>choix soldats;AddMember;Node=>choix soldats;
;;;Node=>choix soldats;AddMember;;;PlayerSpeak : Tanpis pour toi !;PlayerSpeak : Bienvenue !;;Switch=>engagement;;
[combat soldats];;;;Node=>choix soldats;;;Node=>choix soldats;AddMember;;Node=>choix soldats;;
OtherSpeak : Enculé !;;;;;;;;Switch=>engagement;;;;
LaunchCombat;;;;;;;;Node=>choix soldats;;;;
Node=>caserne vide;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[chef caserne];;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;
PlayerSpeak : Olah !;;;;;;;;;;;;
OtherSpeak : Hello !;;;;;;;;;;;;
;;;;;;;;;;;;
[choix chef];;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;
Choice : Je dois y aller !;Choice : Vous avez des armes ?;;;;;Choice : Vous avez quelques conseils ?;;;;;;
OtherSpeak : A plus tard;RandomPercent66;;;;;RandomPercent20;;;;;;
Fade;OtherSpeak : Oui quelques une dans l'arrière tente.;;;OtherSpeak : Oui mais seulement pour mes hommes ;;OtherSpeak : Pas vraiment.;OtherSpeak : Quelques uns !;;;;;
HideOther;OtherSpeak : Suivez moi;;;SetChoices2;;Node=>choix chef;OtherSpeak : Par exemple :;;;;;
Node=>caserne;SetChoices2;;;Choice : PD;Choice : OK;;GiveTip;;;;;
;Choice : Je vous suis.;;Choice : Peu pour moi;Node=>combat chef;Node=>choix chef;;Node=>choix chef;;;;;
;Fade;;OtherSpeak : C'est vous qui voyez;;;;;;;;;
;RandomPercent80;;Node=>choix chef;;;;;;;;;
;OtherSpeak : Voilà la came!;Node=>guétapens;;;;;;;;;;
;TradeWeapons;;;;;;;;;;;
;Node=>choix chef;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[guétapens];;;;;;;;;;;;
OtherSpeak : AAAA ! Tu es tombé dans mon piège;;;;;;;;;;;;
OtherSpeak : Tu vas me donner 50 pièces d'or.;;;;;;;;;;;;
OtherSpeak : Et et je te laisse en vie !;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : Sûrement pas;Choice : Tenez;;;;;;;;;;;
[combat chef];CheckGold50;;;;;;;;;;;
OtherSpeak : Il t'en coutra tes argnoles ! ;RemoveGold50;;;;;;;;;;;
LaunchCombat;OtherSpeak :  Et ne revenez plus jamais ici;;;;;;;;;;;
PlayerSpeak : AHA !;Node=>debut;;;;;Choice : Vous êtes des pds !;;;;;;
NewCrew3;;;;;;LaunchCombat;;;;;;
OtherSpeak : Capitaine !;;;;;OtherSpeak : Mais oui c'est ça !;Fade;;;;;;
RandomPercent50;SetChoices2;;;;OtherSpeak : à l'attaque !;Node=>caserne vide;;;;;;
Node=>combat soldats;Choice : Il a essayé de me voler !;;;Choice : Vous êtes des pds !;LaunchCombat;;;;;;;
;RandomPercent35;;;LaunchCombat;Fade;;;;;;;
;OtherSpeak : Il faisait ça parfois.;;OtherSpeak : Mais oui c'est ça !;Fade;Node=>caserne vide;;;;;;;
;OtherSpeak : Vous savez quoi… Je ferme les yeux.;;OtherSpeak : à l'attaque !;Node=>caserne vide;;;;;;;;
;OtherSpeak :  Mais, bon faites profil bas;;LaunchCombat;;;;;;;;;
;SetChoices2;;Fade;;;;;;;;;
;Choice : Compris !;Choice : PD !;Node=>caserne vide;;;;;;;;;
