Nom;Fréquence %;;;;
Casino;1;casino;;;
Narrator : L'île est assez grande. Une musique émane de derrière des dunes de sable. Un chemin y mène.;;;;;ceci juste pour le bug de merde
[debut];;;;;Choice : (fouiller la salle)
SetChoices2;;;;;Narrator : il n'y a pas gra
Choice : Lever l'ancre;Choice : Vers la grange;;;;AddToInventory<Jeu de carte>/Misc
PlayerSpeak : On s'en va !;Fade;;;;Node=>salleVide
Leave;Narrator : La musique est très forte. Des rires et des insultes sortent de la grange.;;;;
;SetChoices2;;;;
;Choice : Revenir sur la plage;Choice : Entrer;;;
;Fade;Fade;;;
;Node=>debut;Node=>entrée casino;;;
[entrée casino];;;;;
NewCrew5;;;;;
Narrator : L'ambiance est joviale. Des gens sont assis à des tables, ils jouent aux cartes. Un serveur se tient derrière le comptoir.;Node=>salleVide;Node=>combatSalle;;;
[choix salle];;;OtherSpeak : Allez DIRECTIONTOFORMULA, vous en saurez plus.;;
SetChoices4;;;;;
Choice : (attaquer tout le monde);Choice : Je peux jouer ?!;Choice : (aller vers le comptoir);Choice : (sortir);;
[combatSalle];Node=>jeu;Node=>comptoir;HideOther;;
OtherSpeak : Qu'est-ce qu'il veut celui là ?!;;;Fade;;
LaunchCombat;;;Narrator : Le bateau est toujours sur la plage.;;
Node=>salleVide;;;Node=>debut;;
;;;;;
[salleVide];;;;;
Narrator : La salle est vide. Le serveur et les musiciens se sont enfuit pendant le combat.;;;;;
SetChoices3;;;;;
Choice : (fouiller comptoir);;;Choice : Revenir au bateau;Choice : (fouiller la salle);
RandomPercent30;;;Fade;Narrator : Il n'y a pas grands choses, a part le jeu de carte posé sur l'une des tables.;
PlayerSpeak : Bingo !;PlayerSpeak : Rien du tout…;;Node=>debut;AddToInventory<Jeu de carte>/Misc;
LootFood;Node=>salleVide;;;Node=>salleVide;
Node=>salleVide;;;;;
;;;;;
;;;;;
[jeu];;;;;
OtherSpeak : Assieds toi jeune !;;;;;
OtherSpeak : Tu connais les règles du pierre papier ciseau ?;;;;;
[choix regles];;;;;
SetChoices2;;;;;
Choice : Non;Choice : Oui;;;;
OtherSpeak : Jva t'expliquer.;OtherSpeak : Très bien.;;;;
OtherSpeak : Tu fais avec ta main une pierre, un papier ou un ciseau.;OtherSpeak : Le pari est à 50 pièces d'or;;;;
OtherSpeak : Je fais de même.;SetChoices2;;;;
OtherSpeak : On montre en même temps.;Choice : Donner;;Choice : Partir;;
OtherSpeak : Pierre remporte ciseau.;CheckGold50;;Node=>entrée casino;;
OtherSpeak : Ciseau remporte papier.;RemoveGold50;OtherSpeak : Tu n'as pas assez.;;;
OtherSpeak : Papier remporte pierre.;OtherSpeak : Commençons;Node=>entrée casino;;;
OtherSpeak : Tout est clair ?;Node=>shifumi1;;;;
Node=>choix regles;;;;;
;;;;;
[shifumi1];;;;;
SetChoices3;;;;;
Choice : Pierre;Choice : Papier;Choice : Ciseau;;;
Node=>pierre;Node=>papier;Node=>ciseau;;;
;;;;;
;;;;;
[comptoir];;;;;
NewCrew1;;;;;
OtherSpeak : Hélà, qu'est-ce que je vous sers ?;;;;;
SetChoices3;;;;;
Choice : Une information sur Bobby Dick ?!;;Choice : De la nourriture !;Choice : Rien !;;
RandomRange2;;TradeFood;HideOther;;
OtherSpeak : Ah ça c'est DIRECTIONTOFORMULA;OtherSpeak : Ah ça me dit rien non.;Node=>comptoir;Node=>entrée casino;;
Node=>comptoir;Node=>comptoir;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
[pierre];;;;;
RandomRedoRange3;;;;;
OtherSpeak : Pierre !;OtherSpeak : Ciseau !;OtherSpeak : Papier !;;;
OtherSpeak : Arg !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;
OtherSpeak : Encore !;OtherSpeak : Prends ton argent…;Node=>entrée casino;;;
Node=>shifumi1;AddGold100;;;;
;Node=>entrée casino;;;;
;;;;;
;;;;;
[papier];;;;;
RandomRedoRange3;;;;;
OtherSpeak : Papier !;OtherSpeak : Pierre !;OtherSpeak : Ciseau !;;;
OtherSpeak : Arg !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;
OtherSpeak : Encore !;OtherSpeak : Prends ton argent…;Node=>entrée casino;;;
Node=>shifumi1;AddGold100;;;;
;Node=>entrée casino;;;;
;;;;;
[ciseau];;;;;
RandomRedoRange3;;;;;
OtherSpeak : Ciseau !;OtherSpeak : Papier !;OtherSpeak : Pierre !;;;
OtherSpeak : Arg !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;
OtherSpeak : Encore !;OtherSpeak : Prends ton argent…;Node=>entrée casino;;;
Node=>shifumi1;AddGold100;;;;
;Node=>entrée casino;;;;
