Nom;Fréquence / 5;Sprite ID
Mon île;100;0
[premiere visite];;
Narrator : Naufragé depuis plus d'un an, CAPITAINE n'a quasiment plus rien à mangé.;Node=>retour;
Narrator : Il est temps pour lui de partir à bord de son bateau construit de bambous et d'os, NOMBATEAU, et de chercher la richesse auprès du trésor de Bobby Dick.;;
Narrator : Les rumeurs du trésor se font entendre DIRECTIONTOFORMULA;;
PlayerSpeak : En route !;;
Switch=>premiere visite;;
Leave;;
;;
;;
[retour];;
Narrator : La vielle île naufragé de CAPITAINE. Les années passées dans cette prison ne lui donne pas envie de s'éterniser.;;[partir]
Narrator : Les rumeurs du trésor se font entendre DIRECTIONTOFORMULA;;Leave
CheckQuest=>partir;;
ChangeStory=>Île Déserte[ile sans arbuste/partir];;
