Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;;
Bois;8,96;0;;;;;;;;;;;
Narrator : L'île est petite et boisée.;;;;;;;;;;;;;
CheckQuest=>milieu foret;;;;;;;;;;;;;
Node=>milieu foret;;;;;;;;;;;;;
;;;;;;;;;;;;;
[milieu foret];;;;;;;;;;;;;
Fade;;;;;;;;;;;;;
RandomRange4;;;;;;;;;;;;;
Node=>milieu foret 1;Node=>milieu foret 2;Node=>milieu foret 3;Node=>milieu foret rien;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[milieu foret 1];;;[milieu foret 2];;;;[milieu foret 3];;;;;[milieu foret rien];
CheckDay;;;CheckDay;;;;CheckDay;;;;;CheckDay;
Narrator : Le soleil descend à travers les branches de ce petit bois d'érable. Seul un petit chemin s'ouvre en face de CAPITAINE. La végétation est trop dense pour aller ailleurs.;Narrator : La nuit est douce et claire au milieu de ce petit bois d'érable. Seul un petit chemin s'ouvre en face de CAPITAINE. La végétation est trop dense pour aller ailleurs.;;Narrator : Une magnifique clairière s'ouvre devant CAPITAINE. Un chemin borde un ruisseau bruyant. Un autre à gauche est tapissé de feuille.;Narrator : La lune enveloppe une magnifique clairière. Un chemin borde un ruisseau bruyant. Un autre à gauche est tapissé de feuille.;;;Narrator : D'immenses sapins montent jusqu'au ciel bleu, bien au dessus des têtes de l'équipage. CAPITAINE est au carrefour de quatre chemins. ;Narrator : La lune enveloppe une magnifique clairière. Un chemin borde un ruisseau bruyant. Un autre à gauche est tapissé de feuille.;;;;Narrator : Le bois est encore plus minuscule qu'il n'y paraissait. CAPITAINE voit la plage de l'autre côté. L'herbe est fraîche et ensoleillée.;Narrator : La la lune recouvre la petite île entièrement. La nuit est douce mais il n'y a rien à faire ici.
Node=>choix1;Node=>choix1;;Node=>choix2;Node=>choix2;;;Node=>choix3;Node=>choix3;;;;Node=>choix4;Node=>choix4
;;;;;;;;;;;;;
[choix1];;;[choix2];;;;[choix3];;;;;[choix4];
SetChoices2;;;SetChoices3;;;;SetChoices4;;;;;SetChoices2;
Choice : (partir de l'île)(partir);Choice : (suivre chemin);;Choice : (partir de l'île)(partir);Choice : (chemin de gauche);Choice : (suivre ruisseau);;Choice : (partir de l'île)(partir);Choice : (ouest);Choice : (nord);Choice : (est);;Choice : (partir de l'île)(partir);Choice : (dormir)
Leave;Node=>random-est;;Leave;Node=>random-ouest;Node=>random-est;;Leave;Node=>random-ouest;Node=>random-nord;Node=>random-est;;Leave;ChangeTimeOfDay
;;;;;;;;;;;;;Node=>choix4
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[random-est];;;;;;;;;;;;;
RandomRange10;;;;;;;;;;;;;
