Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;;
Caserne;2,99;1;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;;
Narrator : Une odeur d'acier résonne dans l'air. C'est une caserne militaire. la porte est gardée par un garde.;;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;;
Choice : Reprendre le large;Choice : Accoster;;;;;;;;;;;;;;;;;;
PlayerSpeak : Osef !;Node=>entrée caserne;;;;;;;;;;;;;;;;;;
Leave;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[entrée caserne];;;;;;;;;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;;;;;;;;
OtherSpeak : Eh là ! Manant !;Narrator : Un soldat gardait la porte. Il est mort.;;OtherSpeak : Vous osez remettre les pieds ici ?;;[conversation entrée];;;;;;;;;;;;;;
Node=>conversation entrée;SetChoices2;;Node=>combat garde;;CheckKarma;;;;;;;;;;;;;;
;Choice : (entrer);Choice : (repartir);;;OtherSpeak : Dites donc ! Vous seriez pas CAPITAINE ?;OtherSpeak : Qu'est-ce que je peux faire pour vous ?;OtherSpeak : Dites, donc, vous avez pas l'air très commode.;OtherSpeak : Nom de bleu !;;;;;;;;;;;
;Node=>caserne vide;Leave;;;OtherSpeak : Le chef doit vouloir vous rencontrer.;Node=>choix garde;OtherSpeak : Le genre à détrousser des ptites vielles.;OtherSpeak : Votre tête est sur tous les avis de recherches !;;;;;;;;;;;
;;;;;OtherSpeak : Entrez, il peut vous aider.;;OtherSpeak : Qu'est-ce que tu veux ?;OtherSpeak : Vous vous pointez comme ça ?;;;;;;;;;;;
;;;;;Switch=>demande chef;;Node=>choix garde;OtherSpeak : Je vous emmène voir le chef.;;;;;;;;;;;
[choix garde];;;;;Switch=>demande entrée;;;SetChoices2;;;;;;;;;;;
SetChoices3;;;;;Fade;;;Choice : Me touche pas;Choice : OK.;;;;;;;;;;
Choice : (attaquer);Choice : Nan rien !;Choice : Je peux rentrer ?;;;Node=>choix garde;;;OtherSpeak : Tu l'aura voulu.;HideOther;;;;;;;;;;
Node=>combat garde;OtherSpeak : A la prochaine !;[demande entrée];;;;;;RemoveKarma;Switch=>chef mauvais karma;;;;;;;;;;
;Leave;RandomRange3;Node=>la quete;;OtherSpeak : Entre !;;;Node=>combat garde;Fade;;;;;;;;;;
;;OtherSpeak : Eh bien tu peux aller te faire voir…;OtherSpeak : Entre !;OtherSpeak : Pas sans nous rendre un petit service;Fade;;;;Node=>chef caserne;;;;;;;;;;
;;Node=>pas rentrer;Fade;Switch=>demande entrée.;Node=>caserne;;;;;;;;;;;;;;
;;;Node=>caserne;Node=>la quete;;;;;;;;;;;;;;;
[pas rentrer];;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;[la quete];;;;;;;;;;;;;;
Choice : (attaquer);Choice : (charmer)(cha);;Choice : Pas de problèmes !;;NewQuest[choix garde];;;;;;;;;;;;;;
RemoveKarma;CheckStatCHA;;OtherSpeak : Ouais c'est ça !;;;;;;;;;;;;;;;;
Node=>combat garde;OtherSpeak : Bon, entrez…;OtherSpeak : Vous vous foutez de moi ?!;Leave;;;;;;;;;;;;;;;;
;Node=>caserne;OtherSpeak : Cassez vous !;;;;;;;;;;;;;;;;;
;;Node=>pas rentrer;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
