Nom;Fréquence %;Sprite ID;;;
Epave;7,46;0;;;
Narrator : L'île est minuscule. Un petit bâteau s'est échoué sur les rocher qui l'entoure.;;;;;
CheckQuest[debut];;;;;
[debut];;;;;
SetChoices3;;;;;
Choice : (passer la nuit ici);;Choice : (partir);Choice : (fouiller l'épave);;
RandomRange2;;PlayerSpeak : Tayo !;Fade;;
Narrator : L'île est trop petite pour pouvoir y installer un campement.;ChangeTimeOfDay;Leave;Node=>épave;;
Node=>debut;Node=>debut;;;;
;;;;;
[épave];;;;;
RandomRange6;;;;;
[bateau vide];PlayerSpeak : De la bouffe…;PlayerSpeak : De quoi se défendre !;PlayerSpeak : Habillés pour l'hiver !;ChangeStory=>Naufragé[naufragé/debut];PlayerSpeak : On dirait des journaux, traitant de Bobby Dick.
PlayerSpeak : Rien !;PlayerSpeak : Ça va nous aider à tenir quelques jours.;LootWeapons;LootClothes;;PlayerSpeak : Le bateau était en route DIRECTIONTOFORMULA
Fade;LootFood;Fade;Fade;;Fade
Node=>debut;Fade;Node=>debut;Node=>debut;;Node=>debut
;Node=>debut;;;;
