Nom;Fréquence %;Sprite ID;;;;;
Forgeron;2,99;1;;;;;
[debut];;;;;;;
Narrator : Le bateau est accosté sur une plage d'herbe. Elle est composée de quelques plates collines. Pas très loin, une maisonnette est surplombée d'une gigantesque cheminée, qui crache une colonne de fumée noire.;;;;;;;
CheckQuest=>choix debut;;;;;;;
[choix debut];;;;;;;
SetChoices2;;;;;;;
Choice : Repartir;Choice : Avancer vers la maison;;;;;;
PlayerSpeak : Pas le temps;PlayerSpeak : Allons y…;;;;;;
Leave;Fade;;;;;;
;Node=>maison forgeron;;;;;;
[maison forgeron];;;;;;;
Narrator : Le capitaine arrive devant une petite maison de briques rouges. ;;;;;;;
NewCrew1/M;;;;;;;
OtherSpeak : Bonjour !;Node=>forgeron mort;OtherSpeak : Tu oses revenir…;;;;;
[switch quete];;LaunchCombat;;;;;
Node=>discussion forgeron;Node=>la quete;Node=>combat forgeron;;;;;
;;;;;;;
[discussion forgeron];Node=>la quete;;;;;;
SetChoices4;;;;;;;[la quete]
Choice : Héla ! Tu vends des armes ?;;Choice : (partir);Choice : (attaquer sauvagement);Choice : Ça se passe comment par ici ?;;;NewQuest=>discussion forgeron
RandomPercent8;OtherSpeak : Avec plaisir !;HideOther;RemoveKarma;RandomRange2;;;
OtherSpeak : Pas à des gens comme toi !;TradeWeapons/Clothes;Leave;[combat forgeron];OtherSpeak : Comme quand on installe une forge au milieu d'une île vierge.;OtherSpeak : Un enfer.;;
Node=>discussion forgeron;Node=>discussion forgeron;;OtherSpeak : Tu te frottes à la mauvaise personne !;OtherSpeak : Moyen.;OtherSpeak : On aurait bien besoin d'aide.;;
;;;LaunchCombat;Node=>discussion forgeron;SetChoices2;;
;;;Node=>forgeron mort;;Choice : Désolé j'ai piscine.;Choice : Je m'en charge.;
;;;;;OtherSpeak : Dommage.;Switch=>switch quete;
;;;;;Node=>discussion forgeron;Node=>la quete;
[forgeron mort];;;;;;;
Narrator : Le forgeron est mort, mais sa forge continu de brûler. Derrière la forge se trouve toute sorte de métaux.;;;;;;;
SetChoices3;;;Choice : (regarder derrière forge);;;Choice : (partir);
Choice : Entrer dans maison;;;RandomRange3;;;Fade;
NewCrew1/F;Node=>femme mort;Node=>combat femme;PlayerSpeak : Que des bouts de métal et de la rouille !;PlayerSpeak : Tout plein de choses, mais pas d'armes !;PlayerSpeak : Bingo !;Node=>debut;
OtherSpeak : !;;;Node=>forgeron mort;LootMisc;LootWeapons;;
OtherSpeak : Qu'est-ce que vous faites chez moi ?!;;;;Node=>forgeron mort;Node=>forgeron mort;;
Node=>choix femme;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[choix femme];;;;;;;
SetChoices2;;Choice : Vous allez mourir;;;;;
Choice : J'ai tué votre mari…;;Node=>combat femme;;;;;
RemoveKarma;;;;;;;
OtherSpeak : Noooooon;;;;;;;
RandomPercent50;Node=>combat femme;;;;;;
Narrator : La magnifique femme est à genoux et pleure…;;;;;;;
Choice : Fouiller;Choice : Partir;;;;;;
Node=>fouiller;HideOther;;;;;;
;Fade;;;;;;
;Node=>forgeron mort;;;;;;
;;;;;;;
;;;;;;;
[combat femme];;;;;;;
OtherSpeak : Enculé !;;;;;;;
LaunchCombat;;;;;;;
Node=>femme mort;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[femme mort];;;;;;;
Narrator : Le cadavre de la femme git au beau milieu du salon. La maison est vide.;;;;;;;
[fouiller];;;;;;;
SetChoices3;;Choice : (fouiller bureau);;Choice : (sortir);;;
Choice : (fouiller cuisine);;RandomRange2;;Fade;;;
RandomRange2;PlayerSpeak : Miam !;PlayerSpeak : Juste quelques patrons et des lettres…;PlayerSpeak : Il y a une vielle carte qui indique DIRECTIONTOFORMULA;Node=>forgeron mort;;;
PlayerSpeak : Ils ont TOUT mangé !;LootFood;Node=>fouiller;Node=>fouiller;;;;
Node=>fouiller;Node=>fouiller;;;;;;
