Nom;Fréquence %;Sprite ID;;;;
Grotte;1,37;0;;;;
Narrator : L'île n'a aucune plage. La côte mène directement à un petit bois.;;;;;;
[debut];;;;;;
SetChoices3;;;;;;
Choice : (partir);Choice : (faire un campement)(dormir);Choice : (entrer dans bois);;;;
PlayerSpeak : Tayo !;ChangeTimeOfDay;Fade;;;;
Leave;Node=>debut;Node=>bois;;;;
;;;;;;
[bois];;;;;;
CheckQuest=>bois jour;;;;;;
CheckDay;;;;;;
Node=>bois jour;Node=>bois nuit;;;;;
;;;;;;
;;;;;;
;;;;;;
[bois jour];;;;[bois nuit];;
Narrator : Les oiseaux chantent, les branches dansent paisiblement et l'atmosphère est calme.;;;;Narrator : Dans le bois résonne un silence de mort. Seul les branches se froissent de temps à autres, et quelques hullulements.;;
Narrator : Un peu plus loin, une porte est solidement enfoncée dans un énorme rocher. Elle est entourée de symboles et de dessins.;;;;Narrator : Un peu plus loin, une porte est solidement enfoncée dans un énorme rocher. Elle est entourée de symboles et de dessins.;;
[devant porte jour];;;;[devant porte nuit];;
SetChoices3;;;;SetChoices2;;
Choice : (retourner sur la plage)(partir);Choice : (observer les dessins);Choice : (ouvrir la porte);;Choice : (retourner sur la plage)(partir);Choice : (ouvrir la porte);
Fade;PlayerSpeak : Hmmmm;PlayerSpeak : YAH ! ça ne s'ouvre pas.;;Fade;Narrator : La porte s'ouvre grandement, et calmement. Elle donne sur un escalier descendant. On n'en voit pas le fond.;
Node=>debut;PlayerSpeak : On dirait des étoiles… Et la lune…;Node=>devant porte jour;;Node=>debut;SetChoices2;
;Node=>devant porte jour;;;;Choice : (retourner sur la plage)(partir);Choice : (entrer)
;;;;;Fade;Fade
;;;;;Node=>debut;Node=>grotte
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[grotte];;;;;;
Narrator : Tout est sombre. Mais, au fond, un coffre apparaît, dans toute sa brillance.;;;;;;
SetChoices2;;;;;;
Choice : (ouvrir);;;;Choice : (partir);;
RandomRange3;;;;Leave;;
PlayerSpeak : Wow !;PlayerSpeak : Wew !;PlayerSpeak : Waw !;;;;
AddGold700;LootClothes;LootWeapons;;;;
PlayerSpeak : ça fait beaucoup d'argent.;Node=>grotte;PlayerSpeak : Armés jusqu'aux dents on est !;;;;
Node=>grotte;;Node=>grotte;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[forêt];;;;;;
RandomPercent40;;;;;;
PlayerSpeak : Une caisse de nourriture !;PlayerSpeak : Rien.;;;;;
LootFood;Node=>end foret;;;;;
Node=>end foret;;;;;;
;;;;;;
;;;;;;
[end foret];;;;;;
SetChoices1;;;;;;
Choice : (revenir en arrière)(partir);;;;;;
Fade;;;;;;
CheckDay;;;;;;
Node=>bois jour;Node=>bois nuit;;;;;
