Nom;Fréquence %;Sprite ID;;;;;;;;;;
Hangar;4,69;1;;;;;;;;;;
Narrator : Le bateau est accosté sur une minuscule île, la plage est jonchée de bateau de toute taille, certains sont mêmes des carcasses. Il y a une vielle cabane au bout d'un petit chemin.;;;;;;;;;;;;
[debut];;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : Repartir;Choice : Vers la cabane;;;;;;;;;;;
PlayerSpeak : On s'en va !;Fade;;;;;;;;;;;
Leave;[charpentier];;;;;;;;;;;
;NewCrew1;;;;;;;;;;;
;OtherSpeak : Bonjour !;Node=>Charpentier Mort;Node=>Combat Charpentier;;;;;;;;;
;OtherSpeak : Je fais des merveilles avec les bateaux;;;;;;;;;;;
;[conversation];;;;;;;;;;;
;SetChoices4;;;;;;;;;;;
;Choice : (retourner sur la plage);Choice : Occupez vous de mon bateau !;;Choice : Bobby Dick ?;;Choice : (attaquer);;;;;;
;HideOther;[bateau];;RandomRange2;;RemoveKarma;;;;;;
;Fade;OtherSpeak : Avec plaisir !;OtherSpeak : Après m'avoir menacé ? Non, non.;OtherSpeak : Allez DIRECTIONTOFORMULA, vous en saurez plus.;OtherSpeak : Non ça me dis rien !;RandomPercent50;;;;;;
;Node=>debut;BoatUpgrades;Node=>conversation;Node=>conversation;Node=>conversation;OtherSpeak : Non, non.;Node=>Combat Charpentier;;;;;
;;Node=>conversation;;;;OtherSpeak : Prenez ça, laissez moi, svp.;;;;;;
;;;;;;LootMisc/Food;;;;;;
;;;;;;OtherSpeak : Je n'ai rien d'autre…;;;;;;
;;;;;;SetChoices2;;;;;;
;;;;;;Choice : Merci beaucoup.;Choice : Tout de même, je te crotte.;;;;;
;;;;;;Switch=>bateau;RemoveKarma;;;;;
;;;;;;Node=>conversation;Node=>Combat Charpentier;;;;;
;;;;;;;;;;;;
[Combat Charpentier];;;;;;;;;;;;
OtherSpeak : Enculé de pirate !;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;
Node=>Charpentier Mort;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[Charpentier Mort];;;;;;;;;;;;
Narrator : Le charpentier est mort sur son seuil. La porte de sa cabane est grande ouverte.;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;
Choice : Repartir;Choice : Rentrer dans la cabane;;;;;;;;;;;
Leave;Fade;;;;;;;;;;;
;RandomPercent29;;;;;;;;;;;
;PlayerSpeak : Totalement vide !;;[Fouiller Maison];;;;;;;;;
;PlayerSpeak : Juste de la paille pour dormir…;;RandomRange3;;;;;;;;;
;[Cabane Vide];;Narrator : Il y a un petit peu de paille pour dormir, et un petit garde manger près de la porte.;;;Narrator : Il y a un petit peu de paille pour dormir, et un râtelier d'arme.;;;Narrator : Il y a un petit peu de paille pour dormir, et un petit coffre rempli de tout et de rien.;;;
;SetChoices2;;SetChoices3;;;SetChoices3;;;SetChoices3;;;
;Choice : Dormir;Choice : Sortir;Choice : Dormir;Choice : Sortir;Choice : Fouiller;Choice : Dormir;Choice : Sortir;Choice : Fouiller;Choice : Dormir;Choice : Sortir;Choice : Fouiller;
;ChangeTimeOfDay;Fade;ChangeTimeOfDay;Fade;LootMisc/Food;ChangeTimeOfDay;Fade;LootWeapons;ChangeTimeOfDay;Fade;LootMisc;
;Node=>Cabane Vide;Node=>Charpentier Mort;Node=>Fouiller Maison;Node=>Charpentier Mort;Node=>Fouiller Maison;Node=>Fouiller Maison;Node=>Charpentier Mort;Node=>Fouiller Maison;Node=>Fouiller Maison;Node=>Charpentier Mort;Node=>Fouiller Maison;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;OtherSpeak : Tout ça, ça se passe DIRECTIONTOFORMULA
