Nom;Fréquence %;Sprite ID;;;;;;;;;;
Marchand de vêtements;5,48;1;;;;;;;;;;
Narrator : L'île est petite, plate et verte. ;;;;;;;;;;;;
CheckQuest=>debut;;;;;;;;;;;;
[debut];;;;;;;;;;;;
Narrator : Sur la plage un panneau indique une direction : « Marchand d'étoffe et de cuir »;;;;;;;;;;;;
SetChoices2;;;;[la quete];;;;;;;;
Choice : (partir);Choice : (suivre panneau);;;NewQuest=>choix;;;;;;;;
Leave;Fade;;;;;;;;;;;
;Node=>marchand;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[marchand];;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;
[switch quete];Node=>mort;Node=>combat;;;;;;;;;;
OtherSpeak : Salut voyageur !;Node=>la quete;;;;;;;;;;;
[choix];;;;;;[choix autre];;;;;[combat];
SetChoices4;;;;;;SetChoices3;;;;;OtherSpeak : ?!?;
Choice : (partir);Choice : Montrez moi votre marchandise(trade);Choice : Le trésor de Bobby Dick ?;;Choice : (autre);;Choice : Haut les mains (attaquer);Choice : Les affaires vont bien ?(quete);;;Choice : (autre);LaunchCombat;
OtherSpeak : Au revoir !;TradeClothes;RandomPercent20;;Node=>choix autre;;Node=>combat;RandomRange2;;;Node=>choix;RemoveKarma;
Leave;Node=>choix;OtherSpeak : Ça n'intéresse que les pirates DIRECTIONTOFORMULA;OtherSpeak : Ça ne me dit rien.;;;;OtherSpeak : Très bien.;OtherSpeak : Pas génialement.;;;[mort];
;;Node=>choix;Node=>choix;;;;OtherSpeak : Les pirates comme les soldats viennent s'habiller ici.;OtherSpeak : J'ai un soucis.;;;PlayerSpeak : Le voilà mort !;
;;;;;;;Node=>choix;SetChoices2;;;SetChoices2;
;;;;;;;;Choice : Je n'ai pas le temps.;Choice : Dites moi.;;Choice : (partir);Choice : (fouiller la fripperie)
;;;;;;;;OtherSpeak : Ah…;Switch=>switch quete;;Leave;LootClothes
;;;;;;;;Node=>choix;Node=>la quete;;;Leave
