Nom;Fréquence %;Sprite ID;;;;;
Naufragé;6,67;0;;;;;
[debut];;;;;;;
Narrator : L'île est immense, mais une gigantesque colonne de fumée tourne au dessus d'elle.;;;;;;;
SetChoices2;;;;;;;
Choice : (partir);Choice : (accoster sur l'île);;;;;;
PlayerSpeak : On a rien à faire ici !;Fade;;;;;;
Leave;Node=>naufragé;;;;;;
;;;;;;;
;;;;;;;
[naufragé];;;;;;;
NewCrew1;;;;;;;
Narrator : Un naufragé est au bord de la plage. Il vous fait des signes.;Node=>plage déserte;OtherSpeak : Oh non encore vous !;;;;;
PlayerSpeak : Tout va bien ?;;OtherSpeak : Je vous en pris laissez moi en vie;;;;;
OtherSpeak : 3 ans que je suis coincé ici !;;Node=>combat dialogue;;;;;
OtherSpeak : Emmenez moi avec vous, je vous en prie !;;;;;;;
Node=>dialogue;;;;;;;
;;;;;;;
;;;;;;;
[dialogue];;;;;;;
SetChoices3;;;;;;;
Choice : Monte !(membre);Choice : Donne nous tout ce que tu as ou on te croque la bite.(attaquer);;Choice : Désolé mon gars, pas assez de place à bord;;;;
Node=>ajouté à l'équipage;RandomRange2;;RandomRange3;;;;
;OtherSpeak : Mais je n'ai absolument rien !;RemoveKarma;OtherSpeak : Donnez moi au moins quelque chose à manger;;;Node=>combat naufragé;OtherSpeak : Je comprends…
;Node=>combat dialogue;Node=>combat naufragé;SetChoices2;;;;Leave
;;;Choice : Tiens.;;Choice : Non continue à manger des noix de coco.;;
;;;[switch manger];;OtherSpeak : Vous êtes sans coeur !;;
;;;Node=>donner à manger;OtherSpeak : Vous m'avez déjà assez donné;RemoveKarma;;
;;;[donner à manger];Leave;Node=>plage déserte;;
;;;CheckInInventory/Food;;;;
;;;RemoveFromInventory/Food;OtherSpeak : Mais… Vous n'avez rien…;;;
;;;OtherSpeak : Merci…;RemoveKarma;;;
[ajouté à l'équipage];;;AddKarma;HideOther;;;
OtherSpeak : Merci m'sieur !;;;Swich=>switch manger;Node=>debut;;;
AddMember;;;HideOther;;;;
Node=>plage déserte;;;Node=>debut;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[combat dialogue];;;;;;;
SetChoices2;;;;;;;
Choice : Mon couillon t'es en vaine : On s'en va.(partir);Choice : Rien à foutre(attaquer);;;;;;
OtherSpeak : …;RemoveKarma;;;;;;
Leave;RandomRange2;;;;;;
;OtherSpeak : Tenez…;OtherSpeak : Faudra passer sur mon cadavre ! ;;;;;
;LootMisc;Node=>combat naufragé;;;;;
;HideOther;;;;;;
;Node=>debut;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[combat naufragé];;;;;;;
OtherSpeak : Enculé !;;;;;;;
LaunchCombat;;;;;;;
Node=>plage déserte;;;;;;;
;;;;;;;
;;;;;;;
[plage déserte];;;;;;;
Narrator : La plage est vide.;;;;;;;
CheckQuest=>choix plage;;;;;;;
[choix plage];;;;;;;
SetChoices4;;;;;;;
Choice : On lève l'ancre !(partir);Choice : On va rester ici pour la nuit(dormir);Choice : (Chercher de la nourriture)(loot);;Choice : (Retourner voir naufragé);;;
Leave;ChangeTimeOfDay;RandomPercent65;;Node=>naufragé;;;
;Narrator : Le bateau est sur une petite île. L'air est frais et matinal.;PlayerSpeak : Il n'y a rien de comestible ici !;PlayerSpeak : Bingo !;;;;
;Node=>choix plage;Node=>choix plage;LootFood;;;;
;;;Node=>choix plage;;;;
