Nom;Fréquence %;Sprite ID;;;;;;
Village Pêcheur;5;1;;;;;;
[debut];;;;;;;;
Narrator : Après avoir évité une vingtaine de bateau de pêche, le bateau est accosté dans un petit port. L'air empeste le poisson.;;;;;;;;
SetChoices2;;;;;;;;
Choice : (partir);Choice : (entrer dans le village);;;;;;;
PlayerSpeak : Ça pue on s'casse.;Fade;;;;;;;
Leave;Node=>place du village;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[place du village];;;;;;;;
CheckDay;;;;;;;;
Narrator : Le village est petit mais vivant, c'est un jour de marché. Des hommes déplacent des caisses de poissons pendant que des femmes le cuisine et le vend. Une petite rue s'ouvre vers la gauche;Narrator : La nuit, la place du village est vide. Seulement quelques maison sont allumées, et une petite ruelle s'ouvre vers la gauche.;;;;;;;
CheckQuest=>choix village;CheckQuest=>choix village;;;;;;;
Node=>choix village;Node=>choix village;;;;;;;
[choix village];;;;;;;;
SetChoices3;;;;;;;;
Choice : (repartir);Choice : (s'aventurer dans le village);Choice : (parler aux poissoniers);;;;;;
Fade;Fade;NewCrew4;;;;;;
Node=>debut;Node=>rue;OtherSpeak : Hé ho !;;;;;;
;;OtherSpeak : Quest-ce qu'on peut bien faire pour vous mon bon monsieur.;;;;;;
;;[choix poissoniers];;;;;;
;;SetChoices4;;;;;;
;;Choice : Me vendre à manger.;;Choice : Rien !;Choice : Bobby Dick, ça vous parle ?;;Choice : Ça se passe comment dans votre beau village ?(quete);
;;RandomPercent40;;OtherSpeak : A la prochaine !;RandomRange2;;RandomPercent65;
;;TradeFood;OtherSpeak : Vous arrivez au mauvais moment, on en a plus du tout.;HideOther;OtherSpeak : Bien sûr, un ami m'en a souvent parlé;OtherSpeak : Non, rien;OtherSpeak : C'est merveilleux !;NewQuest=>choix poissoniers
;;Node=>choix poissoniers;Node=>choix poissoniers;Node=>choix village;OtherSpeak : Il habite DIRECTIONTOFORMULA;Node=>choix poissoniers;OtherSpeak : Ici on est loin des pirates, on se connaît tous.;
;;;;;Node=>choix poissoniers;;OtherSpeak : Chaque minute est à croquer.;
;;;;;;;Node=>choix poissoniers;
[rue];;;;;;;;
CheckDay;;;[taverne];;;;;
RandomRange3;Node=>vide;;Fade;;;;;
Node=>vide;Node=>boutique;Node=>hangar;ChangeStory=>Taverne[taverne/rue];;;;;
;;;;;;;;
[vide];;;;;;;;
Narrator : La rue mène sur un impasse et la chaleur d'une taverne.;;;;;;;;
SetChoices2;;;;;;;;
Choice : Revenons en arrière(partir);Choice : Entrons;;;;;;;
Fade;Node=>taverne;;;;;;;
Node=>place du village;;;;;;;;
;;;;;;;;
[boutique];;;;;;;;
Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Une petite boutique est ouverte à gauche;;;;;;;;
SetChoices3;;;;;;;;
Choice : Revenons en arrière(partir);Choice : Entrons dans la taverne;Choice : Rentrons dans boutique;;;;;;
Fade;Node=>taverne;ChangeStory=>Marchand de choses[marchand/boutique];;;;;;
Node=>place du village;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[hangar];;;;;;;;
Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Des coups de marteaux et de scie sortent d’un grand hangar vers la droite.;;;;;;;;
SetChoices3;;;;;;;;
Choice : (revenir sur la place)(partir);Choice : (entrer dans la taverne);Choice : (entrer dans le hangar);;;;;;
Fade;Node=>taverne;ChangeStory=>Hangar[charpentier/hangar];;;;;;
Node=>place du village;;;;;;;;
