Provisions;Description;Value;$;W;LVL
Betterave;C'est un betterave;26;13;3;0
Hareng;C'est un hareng;23;35;2;0
Bout de pain;C'est un bout de pain;28;42;2;0
Sardine;C'est un sardine;18;27;1;0
Bout de lard;C'est un bout de lard;18;27;2;0
Chou de Bruxelles;C'est un chou de bruxelles;13;20;2;0
Châtaigne;C'est un châtaigne;23;35;1;0
Citron;C'est un citron;15;23;1;0
Ail;C'est un ail;16;24;1;0
Maïs;C'est un maïs;17;26;2;0
Biscuit;C'est un biscuit;18;27;2;0
Thon;C'est un thon;21;32;2;0
Morceau de fromage;C'est un morceau de fromage;10;15;3;0
Cacahuètes;C'est un cacahuètes;30;45;1;0
Crustacé;C'est un crustacé;12;18;4;0
Lapin;C'est un lapin;25;38;5;0
Lotte;C'est un lotte;23;35;4;0
Morue;C'est un morue;12;18;3;0
Crabe;C'est un crabe;30;45;3;0
Crevette;C'est un crevette;28;42;2;0
Oeuf de caille;C'est un oeuf de caille;12;18;2;0
Carré de chocolat;C'est un carré de chocolat;18;27;2;0
Madeleine;C'est un madeleine;10;15;2;0
Poulet;C'est un poulet;27;41;4;0
Noix;C'est un noix;15;23;2;0
Ananas;C'est un ananas;11;17;3;0
Clémentine;C'est un clémentine;26;39;2;0
Orange;C'est un orange;11;17;2;0
Champignon;C'est un champignon;11;17;2;0
Saumon;C'est un saumon;16;24;4;0
Cabillaud;C'est un cabillaud;15;23;3;0
Homard;C'est un homard;11;17;4;0
Lasagnes;C'est un lasagnes;21;32;3;0
Patisserie;C'est un patisserie;24;36;3;0
Pomme;C'est un pomme;15;23;1;0
Asperges;C'est un asperges;13;20;2;0
Pomme;C'est un pomme;22;3;2;0
Orange;C'est un orange;15;3;2;0
Abricot;C'est un abricot;24;3;2;0
