Vêtement;Description;Value;$;W;LVL;Sprite ID
Marcel;C'est un marcel;8;19;8;1;0
Toge en tissu;C'est un toge en tissu;9;19;5;1;0
Habit de paysan;C'est un habit de paysan;13;29;9;1;0
Tenue de voyageur;C'est un tenue de voyageur;12;19;9;1;0
Fourrure;C'est un fourrure;14;25;6;1;1
Salopette;C'est un salopette;7;19;6;1;0
Chemise de maille;C'est un chemise de maille;18;28;9;2;1
Armure de parade;C'est un armure de parade;21;34;10;2;1
Armure de bois;C'est un armure de bois;16;25;11;2;1
Cuirasse rouillée;C'est un cuirasse rouillée;22;34;12;2;1
Harnais de cuir;C'est un harnais de cuir;23;42;13;2;0
Veste renforcée;C'est un veste renforcée;17;30;9;2;1
Plastron de cuir;C'est un plastron de cuir;32;57;13;3;1
Tenue d'officier;C'est un tenue d'officier;26;41;15;3;0
Habit de bandit;C'est un habit de bandit;28;43;13;3;0
Plastron de fer;C'est un plastron de fer;30;49;16;3;2
Cotte de maille;C'est un cotte de maille;30;50;16;3;2
Chemise de maille;C'est un chemise de maille;38;58;19;4;1
Armure de parade;C'est un armure de parade;42;72;21;4;2
Armure de bois;C'est un armure de bois;42;70;19;4;0
Cuirasse rouillée;C'est un cuirasse rouillée;38;66;20;4;1
Harnais de cuir;C'est un harnais de cuir;39;69;17;4;1
Veste renforcée;C'est un veste renforcée;44;70;20;4;1
Plastron de cuir;C'est un plastron de cuir;53;90;24;5;1
Tenue d'officier;C'est un tenue d'officier;50;84;24;5;0
Habit de bandit;C'est un habit de bandit;52;83;24;5;0
Plastron de fer;C'est un plastron de fer;52;86;23;5;2
Cotte de maille;C'est un cotte de maille;49;78;21;5;2
Chemise de maille;C'est un chemise de maille;61;93;28;6;2
Armure de parade;C'est un armure de parade;56;85;28;6;2
Armure de bois;C'est un armure de bois;61;97;25;6;1
Cuirasse rouillée;C'est un cuirasse rouillée;60;92;27;6;1
Harnais de cuir;C'est un harnais de cuir;61;97;29;6;1
Veste renforcée;C'est un veste renforcée;61;98;27;6;1
Plastron de cuir;C'est un plastron de cuir;73;117;30;7;1
Tenue d'officier;C'est un tenue d'officier;72;110;31;7;0
Habit de bandit;C'est un habit de bandit;74;120;33;7;0
Plastron de fer;C'est un plastron de fer;66;108;31;7;2
Cotte de maille;C'est un cotte de maille;71;115;32;7;2
Chemise de maille;C'est un chemise de maille;79;125;33;8;1
Armure de parade;C'est un armure de parade;82;131;37;8;1
Armure de bois;C'est un armure de bois;84;131;36;8;1
Cuirasse rouillée;C'est un cuirasse rouillée;80;128;35;8;1
Harnais de cuir;C'est un harnais de cuir;80;123;33;8;1
Veste renforcée;C'est un veste renforcée;80;122;37;8;1
Plastron de cuir;C'est un plastron de cuir;88;139;40;9;1
Tenue d'officier;C'est un tenue d'officier;86;129;40;9;0
Habit de bandit;C'est un habit de bandit;92;141;40;9;0
Plastron de fer;C'est un plastron de fer;87;141;38;9;2
Cotte de maille;C'est un cotte de maille;92;138;40;9;2
Armure du roi pirate;C'est un armure du roi pirate;98;148;42;10;2
