Déplacement;"Bienvenue dans votre taverne !
Pour vous déplacer, faites glisser votre doigt dans la direction désirée, n’importe ou sur l’écran";&
Client;"Voilà votre premier client.
Attendez qu’il trouve une table et qu’il s’assoit";&
Commande;"Il n’y a plus qu’à prendre sa commande.
Déplacez vous sur la table pour interagir avec le client";&
Ingrédients;"Maintenant que vous savez ce qu’il faut au client, allez lui chercher !
Glissez vers les distributeurs d’ingrédients pour les mettre dans une assiette";&
Vider l’assiette;"Si vous vous êtes trompé d’ingrédients, vous devez vider votre assiette !
Il suffit de glisser vers la poubelle.";&
Service;"Vous avez servis le client,
Il faut maintenant attendre avant qu’il nous paye...";&
L’or;"Pour qu’un client parte de la taverne, il faut l’encaisser.
Glisser vers sa table pour prendre l’or.";&
Patience;"Vous avez servis ce client à temps, mais s’ils attendent trop longtemps, les clients partent sans payer.
Vous perdez une vie !";&
Patience;"La patience du client descend plus vite quand il attend une table.
Plus il attend, plus il est rouge.";&
Fin de journée;"Voilà pour les bases de la taverne.
C’était votre seul client aujourd’hui.
Mais quelque chose me dit que les choses vont être autrement agitées par la suite.";&
Carte;"Ici, c’est la carte.
Plus vous avancez dans le jeu, plus les clients sont nombreux et capricieux !
Vous allez avoir besoin d’améliorer la taverne.";&
Tables;"Les tables supplémentaires permettent d’agrandir la taverne et d’accueillir plus de clients ! 
Indispensable.";&
Assiettes;"Quand vous aurez plus d’une assiette,
Vous pourrez choisir dans le menu du bas celle que vous remplirez.";&
Ingrédients;"Vous ne pourrez pas satisfaire les clients
Si vous n’avez pas de qu’il leur faut.";&
Serveurs;"Quand les choses seront hors de votre contrôle,
Il suffira de toucher une table et un serveur s’en occupera.";&
Nouveaux clients;"Voilà un nouveau client.
Assurez vous d’avoir tous les ingrédients nécessaires pour le satisfaire !
Et n’hésitez pas à refaire les niveaux précédents si l’or manque !";&
