Nom;Fréquence %;;;;;;;;;;;;;;
Village pecheur;7;village;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;
Narrator : Après avoir évité une vingtaine de bateau de pêche, le bateau est accosté dans un petit port. L'air empeste le poisson.;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : Repartir;Choice : Entrer dans le village;Choice : Aller voir les pêcheurs;;;;;;;;;;;;;
PlayerSpeak : Ça pue on s'casse.;Fade;Fade;;;;;;;;;;;;;
Leave;Node=>place du village;Node=>pêcheurs;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;[pêcheurs];;;;;;;;;;;;
;;;NewCrew1;;;;;;;;;;;;
;;;PlayerSpeak : Bonjour pêcheur !;;;;;;;;;;;;
;;;OtherSpeak : Salut à toi;;;;;;;;;;;;
;;;[choix pecheurs];;;;;;;;;;;;
;;;SetChoices3;;;;;;;;;;;;
;;;Choice : (Revenir aux quais);Choice : Bobby Dick, ça te dit quelque chose ?;Choice : Tu AS du poisson, ou autre, à me vendre non ?;;;;;;;;;;
;;;HideOther;OtherSpeak : Oui, certains clients en parlent. Ils partent DIRECTIONTOFORMULA;RandomPercent65;;;;;;;;;;
;;;Fade;Node=>choix pecheurs;OtherSpeak : Rien aujourd'hui;OtherSpeak : Et comment !;;;;;;;;;
;;;Node=>debut;;OtherSpeak : La période est sèche.;TradeFood;;;;;;;;;
[place du village];;;;;Node=>choix pecheurs;PlayerSpeak : Merci bien !;;;;;;;;;
CheckDay;;;;;;OtherSpeak : Au plaisir;;;;;;;;;
Narrator : Le village est petit mais vivant, c'est un jour de marché. Des hommes déplacent des caisses de poissons pendant que des femmes le cuisine et le vend. Une petite rue s'ouvre vers la gauche;Narrator : La nuit, la place du village est vide. Seulement quelques maison sont allumées, et une petite ruelle s'ouvre vers la gauche.;;;;;Node=>choix pecheurs;;;;;;;;;
Node=>choix village;Node=>choix village;;;;;;;;;;;;;;
[choix village];;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : Retourner sur les quais;Choice : S'aventurer dans le village;Choice : Parler aux poissoniers;;;;;;;;;;;;;
Fade;Fade;NewCrew4;;;;;;;;;;;;;
Node=>debut;Node=>rue;OtherSpeak : Hé ho !;;;;;;;;;;;;;
;;OtherSpeak : Qu'est-ce que je peux faire ?;;;;;;;;;;;;;
;;[choix poissoniers];;;;;;;;;;;;;
;;SetChoices3;;;;;;;;;;;;;
;;Choice : Me vendre à manger.;;Choice : Rien !;Choice : Bobby Dick, ça vous parle ?;;;;;;;;;;
;;RandomPercent40;;OtherSpeak : A la prochaine !;RandomPercent40;;;;;;;;;;
;;TradeFood;OtherSpeak : Vous arrivez au mauvais moment, on en a plus du tout.;HideOther;OtherSpeak : Bien sûr, un ami m'en a souvent parlé;OtherSpeak : Non, rien;;;;;;;;;
;;Node=>choix poissoniers;Node=>choix poissoniers;Node=>choix village;OtherSpeak : Il habite DIRECTIONTOFORMULA;Node=>choix poissoniers;;;;;;;;;
;;;;;Node=>choix poissoniers;;;;;;;;;;
;;;;;;;;;;;;;;;
[rue];;;;;;;;;;;;;;;
RandomRange3;;;;;;;;;;;;;;;
Narrator : La rue mène sur un impasse et la chaleur d'une taverne.;;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Une petite boutique est ouverte à gauche;;;;;;;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Des coups de marteaux et de scie sortent d’un grand hangar vers la droite.;;;;;;
SetChoices2;;SetChoices3;;;;;;;SetChoices3;;;;;;
Choice : Entrons;Choice : Revenons en arrière;Choice : Entrons dans la taverne;Choice : Revenons en arrière;Choice : Rentrer dans boutique;;;;;Choice : (entrer dans la taverne);Choice : (revenir sur place);Choice : (entrer dans le hangar);;;;
Node=>taverne;Fade;Node=>taverne;Fade;Fade;;;;;Node=>taverne;Fade;Fade;;;;
;Node=>place du village;;Node=>place du village;NewCrew1;;;;;;Node=>place du village;NewCrew1;;;;
;;;;OtherSpeak : Coucou !;;;;;;;OtherSpeak : Bien le bonjour !;;;;
;;;;[choix boutique];;;;;;;[choix hangar];;;;
;;;;SetChoices4;;;;;;;SetChoices4;;;;
[taverne];;;;Choice : Qu’est-ce que vous vendez ici ?;Choice : Le trésor de Bobby Dick, ça vous parle ?;;Choice : Montrez moi votre marchandise;Choice : Sortir de la boutique;;;Choice : Qu’est-ce que vous vendez ici ?;Choice : Le trésor de Bobby Dick, ça vous parle ?;;Choice : J’ai besoin de quelques changements sur bateau.;Choice : Sortir du hangar
Fade;;;;OtherSpeak : Des bricoles, des choses, des machins quoi.;RandomRange2;;TradeMisc;HideOther;;;OtherSpeak : Je fais des merveilles avec votre bâteau ! ;RandomRange2;;BoatUpgrades;HideOther
ChangeStory=>Taverne[taverne/rue];;;;Node=>choix boutique;OtherSpeak : Mon fils navigue DIRECTIONTOFORMULA, à sa recherche;OtherSpeak : Rien du tout.;Node=>choix boutique;Fade;;;Node=>choix hangar;OtherSpeak : Tout ça, ça se passe DIRECTIONTOFORMULA;OtherSpeak : Rien du tout.;Node=>choix hangar;Fade
;;;;;Node=>choix boutique;Node=>choix boutique;;Node=>rue;;;;Node=>choix hangar;Node=>choix hangar;;Node=>rue
