Appear Rates;Plain;Field;Clearing;Hill;Mountain;Forest;Woods;Sea;Lake;River;Beach;Road;CoastalRoad;Path;Bridge;TownHouse;Farm;ForestCabin;CountryHouse;Hallway;Stairs;LivingRoom;Kitchen;DiningRoom,;ChildBedroom;Bedroom;Bathroom;Toilet;Attic;Basement;Cellar
nord;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
est;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sud-est;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sud;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nord-est;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sud;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sud-ouest;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nord-ouest;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alentours;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
porte;;;;;;;;;;;;;;;;100;100;100;100;;;;;;;;;;;;
brin d’herbe;100;100;100;;;100;100;;;;;;;;;;;;;;;;;;;;;;;;
champignon;;;30;;;50;30;;;;;20;20;20;;;;;;;;;;;10;;;;;;
flaque;50;50;50;;;50;;;;;;;;;;;;;;;;;;;;;;;;;
lit;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;;;;
