;Appelation;Genre;;;;;
Plain;Plaine;fs;;;;;
Field;Champ;ms;;;;;
Clearing;Clairière;fs;;;;;
Hill;Coline;fs;;;;;
Mountain;Montagne;fs;;;;;
Forest;Forêt;fs;;;;;
Woods;Bois;ms;;;;;
Sea;Mer;fs;;;;;
Lake;Lac;ms;;;;;
River;Rivière;fs;;;;;
Beach;Plage;fs;;;;;
Road;Route;fs;;;;type;
CoastalRoad;Route Côtiere;fs;;;;;
Path;Chemin;ms;;;;le meme type que la tile précédente ?;
Bridge;Pont;ms;;;;il est déjà allé dessus ?;vous arrivez
TownHouse;Maison;fs;;;;vous revoilà;vous continuez…
Farm;Ferme;fs;;;;;
ForestCabin;Cabane;fs;;;;;
CountryHouse;Maison de campagne;fs;;;;;
Hallway;Couloir;ms;;;;;
Stairs;Escaliers;ms;;;;;
LivingRoom;Salon;ms;;;;;
Kitchen;Cuisine;fs;;;;;
DiningRoom,;Salle à manger;fs;;;;;
ChildBedroom;Chambre pour enfant;fs;;;;;
Bedroom;Chambre à coucher;fs;;;;;
Bathroom;Salle de bain;fs;;;;;
Toilet;Toilette;fs;;;;;
Attic;Grenier;ms;;;;;
Basement;Cave;fs;;;;;
Cellar;Cellier;ms;;;;;
