;nom;;;;;description;;;description;
;fr;en;Cost;Charge;Prop.;Actif;Passif ( augmentable 2 fois );;;previous energy costs
<<<<<<< .working
Default;Attaquer;Attack;5;0;2;Le coup classique : il inflige à l’adversaire des dégâts au corps à corps, en fonction de la force et de l’épée de l'attaquant;;;;5
;Tirer;Shoot;5;0;2;Le coup inflige à l’adversaire des dégâts à distance, en fonction de la dextérité et du pistolet de l'attaquant;;;;5
;Fuir;Flee;3;0;2;Le membre fait un jet de dé. Si le jet de dé contient un six, le membre fuit le combat. C’est un peu lâche mais personne ne vous en voudra.;;;;3
||||||| .merge-left.r127
Default;Attaquer;Attack;5;0;2;Le coup classiqueÂ : il inflige Ã  lâ€™adversaire des dÃ©gÃ¢ts au corps Ã  corps, en fonction de la force et de lâ€™Ã©pÃ©e de l'attaquant;;;;5
;Tirer;Shoot;5;0;2;Le coup inflige Ã  lâ€™adversaire des dÃ©gÃ¢ts Ã  distance, en fonction de la dextÃ©ritÃ© et du pistolet de l'attaquant;;;;5
;Fuir;Flee;3;0;2;Le membre fait un jet de dÃ©. Si le jet de dÃ© contient un six, le membre fuit le combat. Câ€™est un peu lÃ¢che mais personne ne vous en voudra.;;;;3
=======
Default;Attaquer;Attack;5;0;2;Inflige Ã  l'aversaire des dÃ©gats au corps Ã  corps, en fonction de la force et de l'arme de l'attaquant;;;;5
;Tirer;Shoot;5;0;2;Inflige Ã  l'aversaire des dÃ©gats Ã  distance, en fonction de la force et de l'arme de l'attaquant;;;;5
;Fuir;Flee;3;0;2;Le membre fait un jet de dÃ©. Si le jet de dÃ© contient un six, l'attaquant fuit le combat;;;;3
>>>>>>> .merge-right.r126
;Finir tour;Skip Turn;0;0;0;Met fin au tour du membre;;;;0
<<<<<<< .working
Brute;Matraque;Cosh;7;3;2;La Brute assomme la cible pendant un tour ( requiert arme corps à corps );;;;7
;Saillie;Wallop;7;4;3;La Brute inflige la moitié de ses dégâts à chaque membre de l'équipage adverse ( requiert arme corps à corps );Ricochet;Ricochet;plus de dégâts aux adversaires adjacents pour raclée;7
;Cabriole;Leap;6;3;2;La Brute se prépare pendant 1 tour, puis d’un magnifique soubresaut, retombe sur la cible et lui inflige le triple de ses dégâts ( requiert arme corps à corps );Soubresaut;More Blip;plus de dégâts à la fin;6
;Furie;Fury;10;6;3;Pendant 2 tours, la Brute gagne 2 fois plus d’énergie. Y’a des jours comme ça, tout va mal.;Détraqué;Easily Upset;perd moins de défense;10
Chirurgien;Coup de bistouri;Bistoury Blow;7;3;3;Vite fait bien fait, le Chirurgien soigne les vilains bobos de la cible;;;;7
;Piquouze;Jag;4;3;2;La cible gagne des points de vie, chaque tour, pendant 3 tours. La vie dans les veines.;Timide;Bashful;moins de chances d'attirer l'attention;4
;Mort-au-rats;Rat Poison;3;4;2;La cible perd des points de vie, chaque tour, pendant 3 tours. Si le Chirurgien sait soigner, il peut aussi faire le contraire.;Mauvais diagnostic;Wrong diagnostic;le poison inflige plus de dégâts par tour;6
