Bonjour;"Nous sommes en 2087, les canards ont dominés le monde.

Ils se font appeler les ""Kwaks"" et ont éradiqué la race humaine.

Heureusement les chiens, amis les plus fidèles de l'Homme, ont pris les choses en main et forment une rébellion sous le nom des ""Woofz"".

Menez les vers la victoire pour venger l'Humanité !";&
Territoires;"En bleu, ce sont les territoires que vous avez conquis.

En vert et rouge, les territoires ennemis.

Attaquez l’un d’eux pour commencer un petit coup.";&
Champs de bataille;"Les ennemis vont arriver sur les quatre lignes du champs de bataille.

Glissez votre doigt à droite et gauche pour vous déplacer.";&
Ennemi;En voilà un, placez vous en face de lui et touchez l’écran pour vous en occuper.;&
Barricade;"Pour la suite, les choses vont se corser. Achetez une barricade pour voir.

Elle vous dépannera en attendant de pouvoir vous offrir d’autres soldats";&
Charge inventaire;"Avant d’utiliser les objets, il faut les recharger l’inventaire

Et pour ça, il faut tuer quelques bestioles.";&
Placement objet;Prenez un objet et glissez le sur l’une des quatre lignes.;&
Soldats;Achetez un soldat maintenant. Vous pouvez l’améliorer, ainsi que le capitaine, avec assez d’argent.;&
Placement soldats;"Les soldats tirent automatiquement sur leurs lignes.

Vous pouvez les déplacer mais, avant de les entraîner, ils seront très lents.";&
Contre-attaque;En vas de défaite, les bestioles vont contre-attaquer dans l’une de vos région conquise. Il vous faudra donc la protégée pour éviter une autre contre-attaque.;
Au revoir;Pour l’instant, c’est tout ce qu’il y a à savoir.;&
