;frigo;coffre;armoire;placard;étagère;porte monnaie;boîte à outil;armoire de toilette;carton
verbe seul;;;;;;;;;
nord;;;;;;;;;
nord-est;;;;;;;;;
est;;;;;;;;;
sud-est;;;;;;;;;
sud;;;;;;;;;
sud-ouest;;;;;;;;;
ouest;;;;;;;;;
nord-ouest;;;;;;;;;
devant;;;;;;;;;
droite;;;;;;;;;
derrière;;;;;;;;;
gauche;;;;;;;;;
inventaire;;;;;;;;;
sac;;;;;;;;;
alentours;;;;;;;;;
porte;;;;;;;;;
champignon;;;;;;;;;
flaque;;;;;;;;;
lit;;;;;;;;;
gourde pleine;;5;;;;;;;
gourde vide;;5;;;;;;;
évier;;;;;;;;;
douche;;;;;;;;;
cuvette;;;;;;;;;
lettre;;;;;;;;;2
tableau;;;;;;;;;
arbre;;;;;;;;;
bûche;;;;;;;;;
branche;;;;;;;;;
tomate pourrie;5;;;;;;;;
brocoli pourri;5;;;;;;;;
pomme pourrie;5;;;;;;;;
banane pourrie;6;;;;;;;;
bouteille de lait;6;;;;;;;;
bouteille de lait périmé;6;;;;;;;;
pain;2;;;;;;;;
pain périmé;2;;;;;;;;
bouteille d’eau;6;;;;;;;;
carotte;6;;;;;;;;
carotte douteuse;6;;;;;;;;
conserve de viande;1;;;3*4;;;;;
conserve de tomate;1;;;3*4;;;;;
conserve de thon;1;;;3*4;;;;;
cannette de soda;1;;;3*4;;;;;2
couteau;;3;;10;;;;;2
serpillière;;3;;;;;;;2
pelle;;3;;;;;;;
clé;;3;;;;;;;2
roman;;3;;;6*10;;;;5*2
recette;;3;;4*8;;;;;5*2
manuel;;3;;;6*10;;;;5*2
journal;;3;;;2*5;;;;5*2
magazine;;3;;;2*5;;;;
dollar;;10*1;;;;100*4;;;
lecteur mp3;;2;;;;;;;2
poupée;;2;;;;;;;2
stylo;;2;;;;;;;2
cuillère;;2;;;;;;;2
fourchette;;2;;;;;;;2
assiette;;2;;;;;;;2
bol;;2;;;;;;;2
verre;;2;;;;;;;2
éponge;;2;;;;;;10;2
parfum;;2;;;;;;5;2
canard en plastique;;2;;;;;;5;2
serviette;;2;;;;;;3*10;2
dentifrice;;2;;;;;;15;2
brosse à dent;;2;;;;;;2*15;2
téléviseur;;;;;;;;;
table;;;;;;;;;
canapé;;;;;;;;;
horloge;;2;;;;;;;2
fenêtre ouverte;;;;;;;;;
fenêtre fermée;;;;;;;;;
téléphone;;;;;;;;;2
ordinateur;;;;;;;;;2
radio;;5;;;;;;;2
appareil photo;;5;;;;;;;2
voiture;;;;;;;;;
bâteau;;;;;;;;;
pantalon;;2;4*10;;;;;;2*5
t-shirt;;2;4*10;;;;;;2*5
veste;;2;2*10;;;;;;2*5
manteau;;2;10;;;;;;2*5
chaussures;;2;2*5;;;;;;2*5
lunettes;;2;;;;;;;2*5
montre;;2;;;;;;;2
casque moto;;;;;;;;;2
machine à laver;;;;;;;;;
bougie;;;;;;;;;
lampe torche;;;;;;;25;;10
rouleau de scotch;;;;;;;20;;3
vise;;;;;;;5*10;;3
papier;;;;;;;;;3
