;;;;;aller, retourner;ouvrir;fermer;manger;dormir;regarder, observer;prendre, ramasser, saisir;remplir;boire;déplacer;lire;couper;entrer;jeter, bazarder;équiper, mettre;déséquiper, enlever;écouter;continuer;sortir;retourner;casser;déchirer;(fabriquer;allumer;éteindre;&
;;;;;ou;que;que;que;ou;que;que;que;que;que;que;que;ou;que;que;que;que;ou;par ou;ou;ou;ou;que;que;que;&
;Genre ;Poids / 6;unique;Valeur(1);;ITEM contient peut être des choses utiles.;;ITEM à l’air comestible;ITEM sera bien pour prendre un peu de repos;;on dirait que ITEM peut rentrer dans votre sac;ITEM peut peut être remplir quelque chose d’eau;ITEM peut être bon pour se déshydrater un peu…;;ITEM pourra vous enseigner une chose ou deux.;;;;;;;;;;;;;;;&
verbe seul;ms;;;;;;CLOSECONTAINER;;dormir par terre;description précise des lieux;;;;;;;;;;;;MOVEREL(0);;MOVEREL(4);;;;;;&
nord;ms;;;;MOVE(0);;;;;;;;;;;;;;;;;;;;;;;;;&
nord-est;ms;;;;MOVE(1);;;;;;;;;;;;;;;;;;;;;;;;;&
est;ms;;;;MOVE(2);;;;;;;;;;;;;;;;;;;;;;;;;&
sud-est;ms;;;;MOVE(3);;;;;;;;;;;;;;;;;;;;;;;;;&
sud;ms;;;;MOVE(4);;;;;;;;;;;;;;;;;;;;;;;;;&
sud-ouest;ms;;;;MOVE(5);;;;;;;;;;;;;;;;;;;;;;;;;&
ouest;ms;;;;MOVE(6);;;;;;;;;;;;;;;;;;;;;;;;;&
nord-ouest;ms;;;;MOVE(7);;;;;;;;;;;;;;;;;;;;;;;;;&
devant;ms;;;;MOVEREL(0);;;;;;;;;;;;;;;;;;;;;;;;;&
droite;ms;;;;MOVEREL(2);;;;;;;;;;;;;;;;;;;;;;;;;&
arrière;ms;;;;MOVEREL(4);;;;;;;;;;;;;;;;;;;;;;;;;&
derrière;ms;;;;MOVEREL(4);;;;;;;;;;;;;;;;;;;;;;;;;&
gauche;ms;;;;MOVEREL(6);;;;;;;;;;;;;;;;;;;;;;;;;&
inventaire;ms;;;;;DISPLAYINVENTORY;CLOSEINVENTORY;;;DISPLAYINVENTORY;;;;;;;;;;;;;;;;;;;;&
sac;ms;;;;;DISPLAYINVENTORY;CLOSEINVENTORY;;;DISPLAYINVENTORY;;;;;;;;;;;;;;;;;;;;&
alentours;ms;;;;;;;;;DESCRIBE;;;;;;;;;;;;;;;;;;;;&
porte d’entrée (o);fs;;a;;;ENTER;;;;DESCRIBEITEM;;;;;;;ENTER;;;;;;;;;;;;;&
porte d’entrée (f);fs;;a;;;"DISPLAY(La porte est vérrouillée…)
REQUIRE(clé)
DISPLAY(Vous dévérouillez la porte)
REPLACEITEM(porte d’entrée (o))";;;;DESCRIBEITEM;;;;;;;DISPLAY(La porte est fermée);;;;;;;;CHECKSTAT(STR);;;;;&
porte (o)(n);fs;;a;;;MOVE(0);;;;DESCRIBEITEM;;;;;;;MOVEREL(6);;;;;;;;;;;;;&
porte (o)(w);fs;;a;;;MOVE(6);;;;DESCRIBEITEM;;;;;;;MOVEREL(0);;;;;;;;;;;;;&
porte (o)(s);fs;;a;;;MOVE(4);;;;DESCRIBEITEM;;;;;;;MOVEREL(2);;;;;;;;;;;;;&
porte (o)(e);fs;;a;;;MOVE(2);;;;;;;;;;;;;;;;;;;;;;;;&
porte (f)(n);fs;;a;;;"DISPLAY(La porte est vérrouillée…)
REQUIRE(clé)
DISPLAY(Vous dévérouillez la porte)
REPLACEITEM(porte (o)(n))";;;;DESCRIBEITEM;;;;;;;DISPLAY(La porte est fermée);;;;;;;;;;;;;&
porte (f)(w);fs;;a;;;"DISPLAY(La porte est vérrouillée…)
REQUIRE(clé)
DISPLAY(Vous dévérouillez la porte)
REPLACEITEM(porte (o)(w))";;;;DESCRIBEITEM;;;;;;;DISPLAY(La porte est fermée);;;;;;;;;;;;;&
porte (f)(s);fs;;a;;;"DISPLAY(La porte est vérrouillée…)
REQUIRE(clé)
DISPLAY(Vous dévérouillez la porte)
REPLACEITEM(porte (o)(s))";;;;DESCRIBEITEM;;;;;;;DISPLAY(La porte est fermée);;;;;;;;;;;;;&
porte (f)(e);fs;;a;;;"DISPLAY(La porte est vérrouillée…)
REQUIRE(clé)
DISPLAY(Vous dévérouillez la porte)
REPLACEITEM(porte (o)(e))";;;;;;;;;;;;;;;;;;;;;;;;&
champignon;ms;1;;;;;;EAT(1,1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
flaque;fs;;;;;;;;;DESCRIBEITEM;;;DRINK(1);;;;;;;;;;;;;;;;;&
lit;ms;;;;;;;;SLEEP(4);DESCRIBEITEM;;;;;;;;;;;;;;;;;CRAFT;;;&
gourde pleine;fs;3;;;;;;;;DESCRIBEITEM;TAKE;;"DRINK(5)
REPLACEITEM(gourde vide)";;;;;THROW;;;;;;;;;;;;&
gourde vide;fs;2;;;;;;;;DESCRIBEITEM;TAKE;"DISPLAY(Il n’y a pas de source à proximité)
REQUIRE(évier,douche,cuvette)
REPLACEITEM(gourde pleine)
DISPLAY(La gourde est maintenant pleine)";;;;;;THROW;;;;;;;;;;;;&
évier;ms;;;;;;;;;DESCRIBEITEM;;;DRINK(10);;;;;;;;;;;;;;;;;&
douche;fs;;;;;;;;;DESCRIBEITEM;;;DRINK(10);;;;;;;;;;;;;;;;;&
cuvette;fs;;;;;;;;;DESCRIBEITEM;;;DRINK(10);;;;;;;;;;;;;;;;;&
lettre;ms;;;;;;;;;GIVECLUE;;;;;GIVECLUE;;;;;;;;;;;;;;;&
tableau;ms;;;;;;;;;DESCRIBEITEM;;;;MOVEAWAY;;;;;;;;;;;;;;;;&
arbre;ms;;;;;;;;;DESCRIBEITEM;;;;MOVEAWAY;;"DISPLAY(L’arbre s’écroule par terre)
REMOVEFROMTILE(arbre)
ADDTOTILE(bûche,5)
ADDTOTILE(petit bois,10)";"DISPLAY(L’arbre s’écroule par terre)
REMOVEFROMTILE(arbre)
ADDTOTILE(bûche,5)
ADDTOTILE(petit bois,10)";;;;;;;;;;;;;&
bûche;ms;4;;;;;;;;DESCRIBEITEM;TAKE;;;;;"DISPLAY(Vous découpez la bûche en plusieurs morceaux)
ADDTOTILE(petit bois,3)";"DISPLAY(Vous découpez la bûche en plusieurs morceaux)
ADDTOTILE(petit bois,3)";THROW;;;;;;;;;;;;&
branche;ms;3;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
tomate pourrie;fs;1;;;;;;EAT(1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
brocoli pourri;ms;1;;;;;;EAT(1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
pomme pourrie;fs;1;;;;;;EAT(1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
banane pourrie;fs;1;;;;;;EAT(1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
bouteille de lait;ms;2;;;;;;;;DESCRIBEITEM;TAKE;;DRINKANDREMOVE(5);;;;;THROW;;;;;;;;;;;;&
bouteille de lait périmé;ms;2;;;;;;;;DESCRIBEITEM;TAKE;;DRINKANDREMOVE(5);;;;;THROW;;;;;;;;;;;;&
pain;ms;1;;;;;;EAT(1,1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
pain périmé;ms;1;;;;;;EAT(1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
bouteille d’eau;fs;2;;;;;;;;DESCRIBEITEM;TAKE;;DRINKANDREMOVE(5);;;;;THROW;;;;;;;;;;;;&
carotte;fs;1;;;;;;EAT(1,1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
carotte douteuse;fs;1;;;;;;EAT(1);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
conserve de viande;fs;3;;;;;;EAT(4);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
conserve de tomate;fs;3;;;;;;EAT(3);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
conserve de thon;fs;3;;;;;;EAT(3);;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
cannette de soda;fs;3;;;;;;;;DESCRIBEITEM;TAKE;;DRINKANDREMOVE(5);;;;;THROW;;;;;;;;;;;;&
couteau;ms;2;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;CRAFT;;;&
serpillière;fs;5;;1;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP;;;;;;;;;;&
pelle;fs;6;;3;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP;;;;;;;;;;&
clé;fs;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
