;Au fond de la pièce;Autour de vous;Au milieu de la pièce;Sur un bureau;Sur le mur;Près du mur;En haut d’un escalier;Sous le porche;Dans un renfoncement;relative
verbe seul;;;;;;;;;;
nord;;;;;;;;;;
nord-est;;;;;;;;;;
est;;;;;;;;;;
sud-est;;;;;;;;;;
sud;;;;;;;;;;
sud-ouest;;;;;;;;;;
ouest;;;;;;;;;;
nord-ouest;;;;;;;;;;
devant;;;;;;;;;;
droite;;;;;;;;;;
arrière;;;;;;;;;;
derrière;;;;;;;;;;
gauche;;;;;;;;;;
inventaire;;;;;;;;;;
sac;;;;;;;;;;
alentours;;;;;;;;;;
porte (o);;;;;;;1;1;1;
porte (f);;;;;;;1;1;1;
porte (o)(n);;;;;;;;;;1
porte (o)(w);;;;;;;;;;1
porte (o)(s);;;;;;;;;;1
porte (o)(e);;;;;;;;;;1
porte (f)(n);;;;;;;;;;1
porte (f)(w);;;;;;;;;;1
porte (f)(s);;;;;;;;;;1
porte (f)(e);;;;;;;;;;1
champignon;;;;;;;;;;
flaque;;;;;;;;;;
lit;;;;;;;;;;
gourde pleine;;;;;;;;;;
gourde vide;;;;;;;;;;
évier;;;;;1;;;;;
douche;1;;;;;;;;;
cuvette;;;;;;;;;;
lettre;;;;;;;;;;
tableau;1;;;;;;;;;
arbre;;1;;;;;;;;
bûche;;;;;;;;;;
branche;;;;;;;;;;
tomate pourrie;;;;;;;;;;
brocoli pourri;;;;;;;;;;
pomme pourrie;;;;;;;;;;
banane pourrie;;;;;;;;;;
bouteille de lait;;;;;;;;;;
bouteille de lait périmé;;;;;;;;;;
pain;;;;;;;;;;
pain périmé;;;;;;;;;;
bouteille d’eau;;;;;;;;;;
carotte;;;;;;;;;;
carotte douteuse;;;;;;;;;;
conserve de viande;;;;;;;;;;
conserve de tomate;;;;;;;;;;
conserve de thon;;;;;;;;;;
cannette de soda;;;;;;;;;;
couteau;;;;;;;;;;
serpillière;;;;;;;;;;
pelle;;;;;;;;;;
clé;;;;;;;;;;
roman;;;;;;;;;;
recette;;;;;;;;;;
manuel;;;;;;;;;;
journal;;;;;;;;;;
magazine;;;;;;;;;;
dollar;;;;;;;;;;
lecteur mp3;;;;;;;;;;
poupée;;;;;;;;;;
stylo;;;;;;;;;;
cuillère;;;;;;;;;;
fourchette;;;;;;;;;;
assiette;;;;;;;;;;
bol;;;;;;;;;;
verre;;;;;;;;;;
éponge;;;;;;;;;;
parfum;;;;;;;;;;
canard en plastique;;;;;;;;;;
serviette;;;;;;;;;;
tube de dentifrice;;;;;;;;;;
brosse à dent;;;;;;;;;;
téléviseur;;;;;;;;;;
table;1;;1;;;;;;;
canapé;1;;1;;;;;;;
horloge;;;;;;;;;;
fenêtre ouverte;;;;;1;;;;;
fenêtre fermée;;;;;1;;;;;
téléphone;;;;;;;;;;
ordinateur;;;;1;;;;;;
radio;;;;;;;;;;
appareil photo;;;;;;;;;;
voiture;;;;;;;;;;
bâteau;;;;;;;;;;
pantalon;;;;;;;;;;
t-shirt;;;;;;;;;;
veste;;;;;;;;;;
manteau;;;;;;;;;;
paire de chaussures;;;;;;;;;;
lunettes;;;;;;;;;;
montre;;;;;;;;;;
casque moto;;;;;;;;;;
machine à laver;;;;;;;;;;
bougie;;;;;;;;;;
lampe torche;;;;;;;;;;
rouleau de scotch;;;;;;;;;;
vise;;;;;;;;;;
papier;;;;;;;;;;
baie;;;;;;;;;;
lavabo;;;;;;;;;;
boussole;;;;;;;;;;
planche;;;;;;;;;;
morceau de tissu;;;;;;;;;;
frigo;1;;;;;;;;;
coffre;;;;;;1;;;;
armoire;1;;;;1;1;;;;
placard;1;;;;1;1;;;;
étagère;1;;;;;1;;;;
porte monnaie;;;;;;;;;;
boîte à outil;;;;;;;;;;
armoire de toilette;;;;;1;;;;;
carton;;;;;1;;;;;
