;Genre ;aller, bouger;ouvrir;manger;dormir;regarder;boire;&
nord;ms;MOVE(0);;;;;;&
nord-est;ms;MOVE(1);;;;;;&
est;ms;MOVE(2);;;;;;&
sud-est;ms;MOVE(3);;;;;;&
sud;ms;MOVE(4);;;;;;&
sud-ouest;ms;MOVE(5);;;;;;&
ouest;ms;MOVE(6);;;;;;&
nord-ouest;ms;MOVE(7);;;;;;&
devant;ms;MOVEREL(0);;;;;;&
droite;ms;MOVEREL(2);;;;;;&
derriere;ms;MOVEREL(4);;;;;;&
gauche;ms;MOVEREL(6);;;;;;&
alentours;ms;;;;;DESCRIBE;;&
porte;fs;;ENTER;;;;;&
brin d’herbe;ms;;;;;;;&
champignon;ms;;;EAT;;;;&
flaque;ms;;;;;;DRINK;&
lit;ms;;;;SLEEP;;;&
